Hermana, mi pregunta es sobre la espada de doble filo,;Sister, my question is in regards to the double-edged sword,
que en algún momento creemos que era la Biblia,;which at some point we believe that it was the Bible,
pero a través de las enseñanzas que el Espíritu Santo ha dado, hemos entendido que es el Espíritu Santo,;but through the teachings that the Holy Spirit has given, we have understood that it is the Holy Spirit,
el Libro del Señor. Sí, me gustaría, Hermana, que aclararas esto, si es posible.;the Book of the Lord. Yes, I would like, Sister, for you to clarify this, if it's possible.
Gracias. En cuanto a la espada de dos filos, sí, hermana, bueno, la espada de dos filos, es la palabra de Dios,;Thank you. Concerning the two-edged sword, yes, Sister, well, the two-edged sword, it is the word of God,
es la palabra de Dios, podría ser una visión que Dios está hablando a través,;it is God's word, it could be a vision that God is speaking through,
en una visión que es palabra de Dios, podría ser que el Señor hable en un sueño,;in a vision that's word of God, it could be that the Lord speaks in a dream,
que es la palabra de Dios, la espada de dos filos, la palabra profética a la palabra que Dios habla a través del don de la profecía;that is the word of God, the two-edged sword, the prophetic word to the word that God speaks through the gift of prophecy
y por medio de los profetas o de las profetisas, que es una espada de dos filos,;and through the prophets or the prophetesses, that is a two-edged sword,
y también la revelación de Dios, la palabra cuando Dios se manifiesta;and also the revelation of God, the word when God manifests Himself
y cuando Dios habla por la boca de Sus hijos,;and when God speaks through the mouth of His children,
sea el predicador o un profeta o quien sea que Dios esté hablando a través de,;be it the preacher or a prophet or whoever it might be that God is speaking through,
esa es la palabra, la espada de dos filos, porque dice que mueve a la gente, los mueve,;that is the word, the two-edged sword, because it says that it moves people, it moves them,
transforma el corazón. A veces, cuando una persona viene por primera vez;it transforms the heart. We sometimes, when a person comes for the first time
y Dios les habla, la persona deja de llorar, empiezan a llorar,;and God speaks to them, the person leaves crying, they start to cry,
son tocados porque Dios ha perforado su alma con esa espada de dos filos que es la palabra de Dios,;they are touched because God has pierced their soul with that two-edged sword which is the word of God,
esa palabra de Dios incluso en la enseñanza o con la predicación de Su palabra que también es una espada de dos filos,;that word of God even in the teaching or with the preaching of His word that too is a two-edged sword,
4 perfora el alma, perfora los sentimientos y las partes más profundas de un ser humano, por lo que hace llorar a una persona,;four it pierces the soul, it pierces the feelings and the deepest parts of a human being so it makes a person cry,
Toca el corazón de una persona, los convierte. Esta persona se convierte a Dios muchas veces.;It touches a person's heart, it converts them. This person converts to God many times.
Eso es lo que significa la espada de dos filos, que es la palabra de nuestro Dios, esa palabra viviente,;That is what the two edge sword means, that it is the word of our God, that living word,
la manifestación del Espíritu Santo, la manifestación de un Dios viviente, esa es la palabra o la espada de dos filos.;the manifestation of the Holy Spirit, the manifestation of a living God, that is the word or the two-edged sword.
Muy bien.;Very well so.
