Me gustaría hacerle una pregunta sobre la Biblia, en el libro de Gálatas 2:11, donde dice que Pablo resistió a Pedro cara a cara.;I would like to ask you a question. In the Bible, in the book of Galatians 2:11, 'Now when Peter had come to Antioch, I withstood him to his face because he was to be blamed.'
Antes de que llegaran ciertos hombres de parte de Jacobo, Pedro comía con los gentiles, pero cuando llegaron se retiró y se apartó.;For before certain men came from James, he would eat with the Gentiles, but when they came, he withdrew and separated himself, fearing those who were of the circumcision.
Y los demás judíos también actuaron con hipocresía junto con él, de tal manera que incluso Bernabé fue arrastrado por su hipocresía.;And the rest of the Jews also played the hypocrite with him, so that even Barnabas was carried away with their hypocrisy.
Hermana, si pudiera ampliar sobre el enojo del apóstol Pablo, pues el apóstol Pedro era apóstol a los judíos y quizás debía hacer esas cosas.;Sister, if you could kindly expand on the anger of the Apostle Paul, because the Apostle Peter was going through these situations. We understand that the Apostle Peter was an apostle to the Jews.
Eso fue un evento que ocurrió en aquel tiempo. Pablo vio que Pedro fingía porque tenía miedo de los judíos.;All right, that was an event, something that occurred at that time back then. It says that Paul saw that Peter was pretending because he was afraid of the Jews.
Pedro predicaba a los judíos y Pablo a los gentiles, pero había una mezcla de personas en la congregación en aquel tiempo.;And Peter, well, he preached to the Jews and Paul preached to the Gentiles. But still, there was a mix of people there at the gathering in the congregation.
Debemos considerar que era el comienzo del evangelio, después de miles de años en que la religión era exclusivamente judía.;At that time we must consider that it was the beginning of the gospel. After thousands of years, the religion was Jewish. It was the religion for thousands of years.
Las otras naciones eran idólatras, adoraban ídolos, demonios y a los muertos, hasta que llegó el evangelio del Señor Jesús.;The other nations were idolaters. They worshiped idols, demons, and the dead. When the gospel of the Lord Jesus arrives, Paul begins to preach to the Gentiles.
Pedro tenía miedo de que los judíos le dijeran por qué andaba con los gentiles, comiendo y compartiendo con ellos.;So, logically, Peter was afraid of the Jews because they were going to say to him, 'Why are you hanging out with the Gentiles? Why do you associate with them? Why do you eat with them?'
Pedro aún no tenía la convicción para enfrentar a su pueblo judío y enseñarles que el evangelio permitía la mezcla de gentiles y judíos.;At that time, Peter didn't yet have the conviction to confront his Jewish people, to teach them and say, 'The Lord in the gospel allowed them to mix, that Gentiles and Jews could now come together.'
En aquellos días no era solo cuestión de molestar a los judíos, pues ellos buscarían quitarle la vida a la persona.;They were no longer two divided peoples, the Gentiles and the Jews, but each believer was one before God. In those days, they would seek to take a person's life.
Pedro, angustiado y con miedo de los judíos, fingía, y cuando los judíos estaban cerca no miraba ni reconocía a los gentiles.;So Peter, distressed, afraid of the Jews, pretended. And when the Jews were around, then he didn't look at the Gentiles nor did he acknowledge them so that the others wouldn't get upset.
Pablo se enteró y lo amonestó, diciéndole que debía tener convicción y estar seguro del evangelio de Jesucristo.;Paul found out about it. And Paul well admonished him. He said, 'You must have conviction. You must be steadfast and sure of what you believe. Steadfast and sure of the gospel of Jesus Christ.'
Pablo le dijo: ¿por qué tienes miedo? ¿Por qué te escondes? Eso se llama hipocresía, y no debemos avergonzarnos de nada ni de nadie.;He said, 'Why are you afraid? Why are you hiding? That's called hypocrisy.' He was saying we must not be ashamed of anything or anyone.
Hoy eso también puede pasarnos si ocultamos nuestra identidad espiritual por miedo a que la familia o amigos nos critiquen.;Today that can happen to us. If you are coming to church and you hide from your family and friends so they don't know because they scold, they criticize.
¿Qué nos diría Dios? Que seamos firmes y seguros, que no nos avergoncemos ni temamos a la familia, vecinos o amigos.;So what would God say to us? No, you be steadfast and sure. You should not be ashamed. Hold your head high. Why should you be ashamed or afraid of your family, neighbors, friends?
Si no les gusta cómo soy o cómo vivo, no se acerquen, porque mi vida es de Dios y ya no asisto a sus fiestas y reuniones.;If you don't like how I am, how I live, well, then don't come. Don't approach me because I live like this because it's in my life. Because my life is of God.
Ya no asisto a esas cosas porque son vanidades de la vida que no llevan a nada, así que no me critiquen, pues vivo en el Señor.;I no longer attend your parties and your gatherings because that's not with me anymore because I am here following God. I learned that all those things are vain vanities of life that lead to nothing.
Doy buen ejemplo y buen testimonio, y algún día estas personas también vendrán, pero no me convencerán de retroceder.;I set a good example. I give a good testimony. And one day, well, these people will come, too. But in the meantime, they're not going to convince me to back down or be ashamed of the Lord.
Debemos mantenernos firmes y siempre con la cabeza en alto, diciendo: soy creyente, estoy en la iglesia, conocí a Dios.;So, we must stand strong and always hold our heads high. Say, 'I am a believer, I am in the church. I met God. God has spoken to me. I know that God is in that place. I am sure.'
No me van a criticar ni a burlar, y si no quieren estar conmigo, no los voy a obligar, pero yo soy del Señor.;And therefore you're not going to criticize or mock me. If you don't want to be with me, well, don't be with me. I'm not going to force you, but I am of the Lord.
Esa fue la lección que quedó aquí de Pedro con Pablo, quien lo amonestó porque Pablo era valiente y Pedro era algo cobarde.;That was the lesson that was left here from Peter with Paul who admonished him, because Paul was courageous in the spiritual life and Peter, well, he was somewhat cowardly.
Pablo le enseñó que no, que esa no era la manera correcta de actuar, y esa enseñanza nos sirve a todos hoy en día.;So, Paul was teaching him that no, that was not the correct way. And that teaching serves all of us today as well.
