Hermana, tengo una pregunta. El Señor nos dice en Su Palabra que no debemos tropezar bloques para la gente en el mundo.;Sister, I have a question. The Lord tells us in His Word that we must not be stumbling blocks for the people in the world.
Ni para los hermanos y hermanas en la iglesia, y en realidad,;Nor for the brothers and sisters in church, and in reality,
muchas veces no entendemos cuando estamos tropezando bloques para otros.;many times we do not understand when we are stumbling blocks for others.
Me gustaría, si pudiera, por favor explíquenos,;I would like, if you could, please explain to us,
porque no hemos entendido completamente lo que significa ser un obstáculo para alguien. Gracias, hermana.;because we have not understood completely what it means to be a stumbling block for someone. Thank you, Sister.
Bueno, ¿qué es una piedra de tropiezo para alguien, o para la iglesia?;Well, what is a stumbling stone for someone, or for the church?
Qué es eso, pregunta la hermana. Bueno, ¿qué es esa piedra de tropiezo?;What is that, the sister asks. Well, what is that stumbling stone?
Bueno, tal vez podríamos convertirnos en una piedra de tropiezo, una roca de ofensa para alguien.;Well, that perhaps maybe we could become a stumbling stone, a rock of offense for someone.
Pero esa piedra tropieza, destruye las vidas espirituales de los demás, porque, como recuerdas, nuestro Señor Jesucristo,;But that stumbling stone, it destroys the spiritual lives of others, because, as you remember, our Lord Jesus Christ,
Era una piedra de tropiezo, una roca de ofensa para los israelitas,;He was a stone of stumbling, a rock of offense for the Israelites,
para los judíos en el tiempo de la antigüedad, porque dice que no creían en Jesucristo.;for the Jews in the time of antiquity, for it says that they did not believe in Jesus Christ.
Y el Señor estaba allí delante de ellos, predicando, enseñando, corrigiendo, a juzgarlos, acusándolos y condenándolos,;And the Lord was there before them, preaching, teaching, correcting, judging them, accusing them and condemning them,
y él era una piedra de tropiezo para esta gente.;and he he was a stumbling stone for these people.
Pero esa piedra de tropiezo era muy diferente cuando el Señor hoy le dice a alguien, o el Espíritu Santo le dice a alguien,;But that stumbling stone was very different when the Lord today tells someone, or the Holy Spirit says to someone,
'No seas una piedra tropieza en la vida espiritual de otra persona,;'Do not be a stumbling stone in the spiritual life of someone else,
'que tal vez deberías causar la destrucción de vidas espirituales con tu mal testimonio, con tus malas palabras,;' that you should maybe cause the destruction of spiritual lives with your bad testimony, with your bad words,
con tu imprudencia, con tu envidia, con tus celos y tu resentimiento, con tu codicia, o incluso con tu odio.;with your imprudence, with your envy, with your jealousies and your resentment, with your greed, or even with your hatred.
¿Qué hay dentro de tu corazón que es malo, que podría ser algo que podría ser una piedra de tropiezo para los que te rodean?;What is inside of your heart that is bad, that could be something that could be a stumbling stone for those around you?
Por ejemplo, dentro de su familia en casa, en su casa, usted es el que viene a la iglesia,;For example, within your family at home, in your household, you are the one who comes to the church,
pero su cónyuge no lo hace. y tienes un mal testimonio.;but your spouse does not. and you have a bad testimony.
¿Cómo pueden creer que vas a la iglesia;How then can they believe that you are going to the church
y buscando a Dios cuando su testimonio es terrible en casa?;and seeking God when your testimony is terrible at home?
Esa es una piedra tambaleante también para sus hijos o el resto de su familia o con sus amigos,;That is a stumbling stone also for your children or the rest of your family or with your friends,
tus vecinos, gente en el trabajo, gente en la escuela que sabe que eres un creyente que busca a Dios y te comportas mal con esta gente.;your neighbors, people at work, people at school who know that you are a believer that is seeking God And you behave badly with these people.
Allí te conviertes en una piedra de tropiezo para destruir la vida espiritual o la estabilidad emocional de alguien.;There you become a stumbling stone to destroy the spiritual life or the emotional stability of someone.
entonces esa persona dice: "¿Cómo puedo creer en esa iglesia? ¿Cómo puedo creer en tu doctrina;so that person then says, 'How could I believe in that church? How could I believe in your doctrine
y lo que estás predicando, mira cómo vives tu vida?;and what you're preaching, look at how you live your life?
Serían escandalizados. Esto es lo que llamamos ser una piedra de tropiezo.;' They would be scandalized. This is what we call being a stumbling stone.
Cuando, con mi comportamiento, mis acciones, mi actitud, mis pensamientos, mis palabras, o mi imprudencia;When, with my behavior, my actions, my attitude, my thoughts, my words, or my imprudence
y errores, confundo a otras personas, lastimé, lastimé a los que están a mi alrededor,;and errors, I confuse other people, I hurt them, I hurt those who are around me,
Y puse un mal ejemplo y un mal testimonio, esto llamamos ser una piedra tropiezo en la vida espiritual de alguien más.;And I set a bad example and bad testimony, this we call being a stumbling stone in the spiritual life of someone else.
Por eso debemos tener mucho cuidado y pedirle al Señor que nos enseñe que el Señor nos enseñe cada día cómo es que necesitamos comportarnos nosotros mismos.;This is why we must be very careful and ask the Lord to teach us that the Lord teach us every day how it is that we need to behave ourselves.
para no herir a nadie ni destruir la vida espiritual de alguien más.;so that we do not hurt anyone nor do we destroy someone else's spiritual life.
Esto es lo que el Señor nos dice, debemos caminar en el camino de la santidad,;This is what the Lord tells us, we must walk in the path of holiness,
debemos caminar en el camino de la perfección, debemos presionar hacia adelante y no perder el corazón,;we must walk in the path of perfection, we must press onward and not lose heart,
y ser perfecto cada día que te pase.;and to be perfect each day that passes you.
