Mi preocupación, hermana, radica en el tema del descontento que siempre vemos.;My concern sister lies in the issue of discontentment that we always see.
El pueblo de Israel fue severamente castigado por esto porque no apreciaba nada de lo que Dios les daba.;The people of Israel were heavily punished for this because they did not appreciate anything that God gave them.
Y hoy algo muy similar nos sucede a nosotros porque continuamos en esta tendencia del descontento, nos falta mucho contentamiento.;And today something very similar happens to us because we continue in this trend of discontentment we lack so much contentment.
Así que hermana, me gustaría que profundizara en cómo podemos superar esta atadura espiritual del descontento.;So sister I would like for you to delve into how we can overcome this bondage of discontentment.
Que el Señor la bendiga, hermana, por su respuesta. Gracias, hermana.;May the Lord bless you sister for your answer. Thank you sister.
Es muy fácil, muy fácil superar esta atadura espiritual del descontento. Es simplemente no estar descontento sino estar agradecido a Dios, agradecido a Dios.;It is very easy very easy to overcome this spiritual bond of discontentment. It is simply not to be discontent but to be grateful to God, grateful to God.
Si nos convertimos, porque todo se trata de convertirse a Dios de todo corazón, y si nos convertimos, si somos sinceros con Dios, si amamos a Dios.;If we convert because everything is about converting to God wholeheartedly and if we convert if we are sincere with God if we love God.
Cuando tenemos necesidades materiales, pues también podemos tener necesidades psicológicas, pero cuando tenemos necesidades oramos al Señor y le pedimos a Dios que supla todas nuestras necesidades.;When we have material needs well we can also have psychological needs but when we have needs we pray to the Lord we pray to the Lord and ask God to fulfill all our needs.
Cuando por ejemplo la naturaleza viene con fuerza y destruye muchos lugares, como siempre vemos en las noticias a nivel mundial, cómo hay temblores, cómo hay terremotos, cómo hay huracanes.;When for example nature comes with force and destroys many places as we always see in the news worldwide how there are tremors how there are earthquakes how there are hurricanes.
Cómo todas esas cosas vienen y destruyen y hay muertes y la gente queda en la miseria y otros mueren.;How all those things come and destroy and there are deaths and people are left in misery and others die.
Así que nos angustiamos y estamos viviendo en este planeta donde estamos, no estamos exentos de ser castigados o probados por las fuerzas de la naturaleza, por ejemplo.;So we get anxious and we are living on this planet where we are we are not exempt from being punished or tested by the forces of nature for example.
Así que tenemos que vivir rectamente ante Dios porque dice que Dios protege a sus hijos.;So we have to live righteously before God because it says that God protects his children.
Cuando leemos aquí en los Salmos encontramos muchas promesas donde Dios dice: los que me aman, los que me aman los protegeré, los que me aman los bendeciré, los que me aman estaré con ellos.;When we read here in Psalms we find many promises where God says those who love me those who love me I will protect those who love me I will bless those who love me I will be with them.
Los que me aman escucharé sus oraciones, los que me aman concederé sus peticiones, me acercaré a ellos.;Those who love me I will hear their prayers those who love me I will grant their requests I will reach out to them.
Así que los que aman al Señor, ¿y quiénes son los que aman al Señor? Los que se convierten a Dios.;So those who love the Lord and who are those who love the Lord those who convert to God.
Esa persona que se convierte a Dios, que es sincera con Dios y sigue el camino queriendo agradar a Dios, esos son los que aman al Señor.;That person who converts to God who is sincere with God and follows the path wanting to please God they are the ones who love the Lord.
Así que no hay tiempo para el descontento porque esta persona que ama a Dios cuando tiene un momento difícil en su vida, cuando viene el peligro, entonces dice: solo tengo que orar y clamar a mi Dios y Él me escuchará.;So there is no time for discontentment because this person who loves God when they have a difficult moment in their life when danger comes then they say I just have to pray and cry out to my God and he will hear me.
Él me escuchará porque amo a mi Señor y me he convertido a Dios, y el Señor muchas veces me ha demostrado que encuentro favor con Él porque me cuida y escucha mi oración y concede mis peticiones y mis deseos.;He will hear me because I love my Lord and I have converted to God and the Lord has often proved to me that I find favor with him because he takes care of me and hears my prayer and grants my requests and my desires.
Así que no hay tiempo para el descontento. Estamos descontentos cuando caminamos sin Dios, pero cuando estamos con Dios no estamos descontentos.;So there is no time for discontentment. We are discontent when we walk without God but when we are with God we are not discontent.
Estamos agradecidos y tenemos paciencia por lo que tenemos, poco o mucho. Gracias, Señor, no me falta nada.;We are grateful and we have patience for what we have little or much. Thank you Lord I lack nothing.
Nunca me he ido a la cama sin comer, nunca me he ido a la cama con hambre porque tú me provees, me das todo, Señor, porque te amo.;I have never gone to bed without eating I have never gone to bed hungry because you supply me you give me everything Lord because I love you.
Así que amemos al Señor y verán, hermanos y hermanas, que nunca tendremos ningún descontento, nunca.;So let's love the Lord and you will see brothers and sisters that we will never have any discontentment ever.
No ofenderemos a Dios en este aspecto sino que Él siempre estará con nosotros acercándose. Eso es lo que hace el Señor.;We will not offend God in this aspect but rather he will always be with us reaching out. That is what the Lord does.
