Hermana, personalmente, me gustaría decirte que amo mucho todo lo relacionado con el Señor.;Sister, personally, I would like to tell you that I love everything related to the Lord very much.
Me encantan profundamente sus instituciones como la iglesia, la Fundación Internacional Maria Luisa de Moreno,;I deeply love his institutions such as the church, the Maria Luisa de Moreno International Foundation,
y el partido político colombiano Mira. Tengo un amor muy especial por Mira.;and the Colombian political party Mira. I have a very special love for Mira.
Así que, me gustaría preguntarte, hermana, ¿cómo podemos pedirle a Dios que toque los corazones de la gente;So, I would like to ask you, sister, how can we ask God to touch people's hearts
¿y permitirles entender el trabajo relacionado con Mira?;and allow them to understand the work related to Mira?
En Colombia, como enfoque electoral, tenemos voluntarios en nuestros lugares que quieren compartir más sobre este trabajo.;In Colombia, as elections approach, we have volunteers in our locations who want to share more about this work.
Pero, vemos hermanos y hermanas que a veces no se detienen ni por un momento para aprender sobre el trabajo que hacemos.;But, we see brothers and sisters who sometimes do not stop even for a moment to learn about the work we do.
Hermana, muchas gracias. La gente generalmente tiene una tendencia a alejarse de la política.;Sister, thank you very much. People generally have a tendency to shy away from politics.
Muchos han tenido experiencias desagradables con líderes, con partidos políticos,;Many have had unpleasant experiences with leaders, with political parties,
y estas cicatrices permanecen con ellos. Desafortunadamente, estas cicatrices también están presentes en nuestra congregación, este miedo, esta incredulidad,;and these scars remain with them. Unfortunately, these scars are also present in our congregation, this fear, this disbelief,
porque la gente dice: "No creo en eso". Porque creen que está mal, que es un pecado.;because people say, 'I don't believe in that.' Because they think it's wrong, that it is a sin.
Tienen un concepto tan mal guiado que piden, '¿Cómo puede la política;They have such a misguided concept that they ask, 'How can politics
'Este concepto se equivoca porque la política;and religion be mixed? ' This concept is mistaken because politics
y la religión siempre han ido de la mano desde Adán;and religion have always gone hand in hand since Adam
y Eva. Desde el tiempo de Adán y Eva, cuando comenzó la humanidad, había comunidades,;and Eve. From the time of Adam and Eve, when humankind began, there were communities,
y en cada comunidad, había un gobernante que era un rey.;and in each community, there was a ruler who was a king.
Ellos eran los que juzgaban y servían en todos los papeles como sacerdotes, como reyes, como patriarcas, como gobernantes.;They were the ones who judged and served in all roles as priests, as kings, as patriarchs, as rulers.
Lo hicieron todo. Hicieron sus leyes. Cuando Dios formó al pueblo de Israel, les dio sus leyes.;They did everything. They made their laws. When God formed the people of Israel, he gave them their laws.
Por lo tanto, Dios diría, 'Usted debe cumplir con todas estas regulaciones, toda esta ley.;So, God would say, 'You must comply with all these regulations, all this law.
Quien no cumpla es un delincuente y será castigado.";Whoever does not comply is an offender and will be punished.'
Y el Señor también nombró a sus sacerdotes. Así que las generaciones pasaron,;And the Lord also appointed his priests. So, generations passed,
y el mundo continuó hasta que llegó un momento en que la sociedad, cuando la gente decidió separar la religión de la política,;and the world continued until there came a time when society, when people decided to separate religion from politics,
aunque siempre habían gobernado juntos al unísono. Entonces decidieron que necesitaban separarse.;even though they had always governed together in unison. Then they decided that they needed to separate.
Está bien, está bien. Se separaron. Política por un lado, religión por el otro.;All right, that's fine. They separated. Politics on one side, religion on the other.
Pero caímos en algo que Dios quiere que hagamos.;But we fell into something that God wants us to do.
Y en nuestro caso, sin saberlo e incluso ser un poco escéptico sobre política, me pasó a mí.;And in our case, without knowing it and even being a bit skeptical about politics, it happened to me.
