La pregunta bíblica se encuentra en Apocalipsis capítulo 3, versículos 1 y 2.;The Bible question is found in Revelation chapter 3, verses 1 and 2.
Hermana, entiendo que aquí el Señor le habla en ese tiempo a cada una de las iglesias en Asia y en Europa.;Sister, I understand that here the Lord is speaking at that time to each of the churches in Asia and in Europe.
Pero también podría estarle hablando a un creyente hoy. Amén. Hermana, leeré los versículos 1 y 2.;But he could also be speaking to a believer today. Amen. Sister, I will read verses 1 and 2.
Dice: y escribe al ángel de la iglesia en Sardis: el que tiene los siete espíritus de Dios y las siete estrellas dice esto.;It says: and to the angel of the church in Sardis write: these things says he who has the seven spirits of God and the seven stars.
Conozco tus obras, que tienes nombre de que vives, pero estás muerto. Apocalipsis 3:2: sé vigilante y afirma las otras cosas que están para morir.;I know your works, that you have a name that you are alive, but you are dead. Revelation 3:2: be watchful and strengthen the things which remain that are ready to die.
Porque no he hallado tus obras perfectas delante de Dios. Mi pregunta es: ¿a qué se refiere el Señor en la primera parte que dice sé vigilante y afirma las otras cosas que están para morir?;For I have not found your works perfect before God. My question is: what is the Lord referring to in the first part that says be watchful and strengthen the things which remain that are ready to die?
Sí, sí, hermano. En ese tiempo esas iglesias existían literalmente, eran iglesias reales y físicas que existían.;Yes, yes, brother. At that time those churches existed literally, they were real and physical churches that existed.
Y en cada una de esas iglesias había este problema. Pero si miramos por qué Dios permitió y le dio a Juan esta revelación y enseñanza.;And in each of those churches there was this problem. But if we look at why God allowed and gave John this revelation and teaching.
Porque Dios sabía que no solo esas siete iglesias en ese tiempo, sino que desde entonces en adelante todos los que se convirtieran al evangelio del Señor seguirían el mismo camino.;Because God knew that not only those seven churches at that time, but from then on everyone who converted to the gospel of the Lord would follow the same path.
Harían lo mismo y el Señor diría: este mensaje le sirve a esta iglesia hoy y le servirá a muchos que harán lo mismo en los siglos venideros.;They would do the same and the Lord would say: this message serves this church today and will serve many who will be doing the same in the coming centuries.
Así que que lo practiquen, que cambien, que se arrepientan. Apocalipsis 3: sí, por supuesto. Conozco tus obras.;So let them practice it, let them change, let them repent. Revelation 3: yes, of course. I know your works.
Aquí cuando dice el que tiene las siete estrellas, ¿quién era? Pues el Señor Jesucristo. Y dice: conozco tus obras, que tienes nombre de que vives, pero estás muerto.;Here when it says he who has the seven stars, who was it? Well, the Lord Jesus Christ. And he says: I know your works, that you have a name that you are alive, but you are dead.
¿Por qué? Porque las obras que hacía eran de pecado, estaba pecando y proclamaba: me convertí al evangelio, estoy aquí leyendo las Escrituras.;Why? Because the works he was doing were of sin, he was sinning and proclaiming: I converted to the gospel, I am here now reading scriptures.
Y estoy aquí, Dios me ha hecho, pero estaba pecando. Y el Señor le dice: dices que estás vivo, pero resulta que no estás vivo, estás muerto.;And I am here, God has made me, but he was sinning. And the Lord tells him: you say you are alive, but it turns out you are not alive, you are dead.
Continúa leyendo. Por supuesto. Sé vigilante es decirle: no, ten cuidado porque estás hablando y predicando de vivir, de que tú vives.;Continue reading. Of course. Be watchful is him saying: no, be careful because you are talking and preaching about living, about you living.
Y resulta que no estás viviendo, estás muerto para Dios. Porque una persona que está pecando, viviendo una vida pecaminosa y cometiendo pecado, está muerta para Dios.;And it turns out you are not living, you are dead to God. Because a person who is sinning, living a sinful life and committing sin, is dead to God.
¿Y cuándo resucita esa persona? Cuando conoce a Dios y se arrepiente. Así que dice que resucitan para Dios.;And when does that person resurrect? When they know God and repent. So it says that they resurrect for God.
Así que cuando le dice que tenía que ser vigilante, estar atento, estar firme y tener mucho cuidado con la vida que llevaba.;So when he tells him that he had to be watchful, be attentive, be steadfast, and be very careful about the life he was leading.
Porque tenía que dar muerte a esas obras de la carne o al pecado que estaba cometiendo para alcanzar la bendición de Dios.;Because he had to put to death those works of the flesh or the sin he was committing in order to attain God's blessing.
Muy bien, hermano. Bien, bien. Me extendí mucho. Cómo quisiera que me hicieran preguntas similares a los hermanos.;Very well, brother. Good, good. I extended myself. How I would like to be asked similar questions by the brothers.
