Hermana María Louisa, nos han enseñado que juzgar en la iglesia es enseñar.;Sister Maria Louisa, we have been taught that judging in the church is to teach.
Hay una enseñanza sobre lo que es juzgar según la doctrina.;There is a teaching about what it is to judge according to the doctrine.
Sin embargo, Hermana, encuentro que hay una similitud entre juzgar, exhortar,;However, Sister, I find that there is a similarity between judging, exhorting,
y reprensión. Me gustaría, Hermana, que se expanda un poco más en la diferencia entre juzgar, exhortar,;and rebuking. I would like, Sister, for you to expand a little bit more on the difference between judging, exhorting,
y reprensión. Os pido esto, hermana, porque muchas veces el Señor, como siervos de Dios,;and rebuking. I ask you this, Sister, because many times the Lord, as Servants of God,
puede mostrarnos situaciones o faltas que los hermanos y hermanas tienen, aquellos con los dones espirituales,;may show us situations or faults that the brothers and sisters have, those with the spiritual gifts,
y muchas veces no sabemos cómo enseñar o exhortarlos por temor a su reacción,;and many times we do not know how to teach or exhort them due to fear of their reaction,
así que los sirvientes deciden rezar. Pero también le pregunté a la Hermana porque el Señor, en una visión,;so the servants just decide to pray. But I also asked the Sister because the Lord, in a vision,
me mostró que muchas veces los sirvientes se conforman con lo que tenemos,;showed me that many times the servants just conform with what we have,
y el Señor en la visión me mostró que era necesario educar cuando una persona no camina de manera justa.;and the Lord in the vision showed me that it was necessary to bring up when a person is not walking uprightly.
Así que le dije al Señor que no entendía cómo exhortar a una persona.;So I said to the Lord that I didn't understand how to exhort a person.
Sólo rezo, pero a veces pienso que la persona necesita ser enseñada, exhortada,;I only pray, but I sometimes think that the person needs to be taught, exhorted,
o amonestado para que se den cuenta del error o la culpa que tienen. Juzgar es emitir una sentencia.;or admonished for them to realize the error or fault they have. To judge is to issue a judgment.
¿Y quién juzga a un juez? Si vemos a un juez, les traen quejas;And who judges a judge? If we see a judge, they bring complaints to them
y decir: 'Esta persona estaba robando. Esta persona robó, y así, 'Su Señoría,;and say, 'This person was stealing. This person stole,' and so, 'Your honor,
deberías emitir un juicio para ver cuántos días esta persona estará en la cárcel;you ought to issue a judgment to see how many days this person will be in jail.'
Y así el juez comienza a juzgar. Empieza a investigar para ver si la persona realmente robó o no.;And so the judge begins to judge. He begins to investigate to see if the person actually stole or not.
Necesitan la prueba. Eso es lo que se llama a juzgar.;They need the proof. That is what is called to judge.
Cuando tienen pruebas, entonces emiten un juicio y condenan,;When they have proof, then they issue a judgment and they condemn,
y si no hay pruebas, quizás digan: 'No, esta persona es inocente';and if there is no proof, perhaps they say, 'No, this person is innocent.'
Eso es juzgar. Nuestro Señor Jesucristo enseñó que a los judíos les gustaba juzgar rápidamente,;That is judging. Our Lord Jesus Christ taught that the Jews liked to quickly judge,
y así juzgarían rápidamente. Por ejemplo, había una mujer atrapada en el acto de adulterio,;and so they would judge quickly. For example, there was a woman who was caught in the act of adultery,
y la trajeron al Señor Jesús, y dijeron: Esta mujer fue atrapada en adulterio,;and they brought her to the Lord Jesus, and they said, 'This woman was caught in adultery,
y la ley de Moisés dice que cuando una mujer es atrapada en adulterio que tal debe ser apedreada;and the law of Moses says that when a woman is caught in adultery that such should be stoned.'
¿Qué estaban haciendo? Estaban juzgando. Estaban juzgando,;What were they doing? They were judging. They were judging,
y así cuando el Señor Jesucristo vio que estaban juzgando a la mujer, en otras palabras condenándola,;and so when the Lord Jesus Christ saw that they were judging the woman, in other words condemning her,
y no vieron que tenían sus propios pecados, sus propias faltas,;and they did not see that they had their own sins, their own faults,
pero aun así ya estaban condenando a la mujer, que tenía que morir apedreada. Eso se llama juzgar.;but yet they were already condemning the woman, that she had to die stoned. That is called judging.
They were quickly judging this woman, and they were not looking that they themselves were committing many atrocities.;They were quickly judging this woman, and they were not seeing that they themselves were committing many atrocities.
Por eso el Señor dijo: "El sin pecado echará la primera piedra,;That is why the Lord said, 'He without sin shall cast the first stone,
Porque el Señor sabía que todos habían pecado. Por eso el Señor dijo;' because the Lord knew that they all have sinned. That is why the Lord said
