Mi pregunta es en Primer Pedro capítulo 3, verso 3.;My question is in First Peter chapter 3, verse 3.
Leeré en inglés de bien o de apariencias.;I will read in English of good or of putting on of appearances.
Mi pregunta es, me gustaría que me explicaras, por favor, si esto, lo que está escrito aquí,;My question is, I would like for you to explain to me, please, if this, what is written here,
¿Es sólo para la Antigüedad, o es para hoy? Porque muchas personas de mi pueblo han cambiado.;is for Antiquity only, or is it for today? Because many people from my Village have changed.
No llevan ninguna de estas cosas, no usan joyas.;They don't wear any of these things, they don't use jewelry.
Y también fui parte de esta comunidad cuando llegué a esta iglesia.;And also I was part of this community when I came to this church.
Vi que donde estaba no había luz,;I saw that where I was there was no light,
y encontré la luz aquí. Por eso me gustaría que me explicaras esto.;and I found the light here. That is why I would like for you to explain this to me.
Voy a leer, a partir del versículo 1, Primer Pedro capítulo 3.;I'm going to read, starting from verse 1, First Peter chapter 3.
Así que, las mujeres, igualmente, sean sumisas a sus propios maridos, que aunque algunos no obedezcan la palabra, ellos,;So, wives, likewise, be submissive to your own husbands, that even if some do not obey the word, they,
sin una palabra, puede ser ganado por la conducta de sus esposas.;without a word, may be won by the conduct of their wives.
Tengamos en cuenta la cultura de ese tiempo, donde las mujeres, no trabajaban.;Let's keep in mind the culture of that time, where women, they did not work.
Era el marido el que tenía que mantener el hogar y tenía que mantenerse al día con todas las responsabilidades;It was the husband who had to sustain the household and had to keep up with all the responsibilities
y costos. Así que, las esposas, tenían que ser muy respetuosos,;and costs. So, the wives, they had to be very respectful,
y tenían que ser sumisos con sus maridos. Ahora, hoy es lo mismo, por supuesto: ese respeto es mutuo.;and they had to be submissive to their husbands. Now, today it's the same, of course: that respect is mutual.
Viene de ambas partes. Debe respetarla y apreciarla,;It comes from both parties. He must respect and appreciate her,
y ella debe respetarlo y apreciarlo. Así que los dos necesitan respetarse mutuamente;and she must respect and appreciate him. So the two need to mutually respect each other
y amarse unos a otros, y ambos se someten mutuamente.;and love each other, and both mutually submit to each other.
No es sólo ella, pero es ambas cosas. Porque esto es lo que el Espíritu Santo nos ha enseñado.;It's not just her, but it's both. For this is what the Holy Spirit has taught us.
Versículo dos: cuando observan su conducta Chase, acompañada de miedo,;Verse two: when they observe your Chase conduct, accompanied by fear,
no dejes que tu adorno sea simplemente exterior, arreglando el cabello, usando oro, o poniendo ropa fina.;do not let your adornment be merely outward—arranging the hair, wearing gold, or putting on fine apparel.
Bueno, esto es importante, y me gustaría que usted preste gran atención aquí en este versículo,;Well, this is important, and I would like for you to pay great attention here in this verse,
que es malinterpretado muchas veces. Cuando dice, no dejes que tu adorno sea simplemente exterior,;which is misinterpreted many times. When it says, do not let your adornment be merely outward,
así que es como te vistes. Significa que no vas a demostrar tu santidad ni tu Perfección por tu ropa,;so it's the way that you dress. It means that you are not going to demonstrate your holiness nor your Perfection by your clothing,
tu atuendo o tus joyas. En Antigüedad, sí, en Integridad, por ejemplo,;your attire, or your jewelry. In Antiquity, yes, in Integrity, for example,
el pueblo de Israel — leemos la historia que la gente de la Alta Sociedad,;the people of Israel— we read the story that people of High Society,
personas muy ricas entre el pueblo de Israel, fueron distinguidas por la manera en que se vestían.;people that were very wealthy among the people of Israel, they were distinguished by the way that they dressed.
Así que usarían telas muy finas y joyas muy finas, piedras preciosas, oro.;So they would use very fine fabrics and very fine jewelry, precious stones, gold.
Eso es lo que usarían para demostrar que pertenecían a una clase social muy alta,;That's what they would use so that they could show off that they belonged to a very high social class,
para que demuestren que eran superiores a los demás, y entonces todos necesitaban honrarlos;for them to show they were Superior to others, and then everyone else needed to honor them
y saludarlos con reverencia. Así es como demostraron la importancia de una persona en cómo se visten,;and greet them with reverence. This Is How They demonstrated the importance of a person in how they dressed,
con sus joyas. Así es como, en Integridad,;in their attire, with their jewelry. So that is how, in Integrity,
demostrarían la categoría en que estaba una persona y su estado.;they would show the category a person was in and their status.
Así no es hoy. Hoy no estás mostrando tu estado o su importancia por cómo te vistes,;That's not how it is today. Today you are not showing off your status or their importance by how you dress,
