Gracias. Mi pregunta se encuentra en Proverbios 21, verso 2.;Thank you. My question is found in Proverbs 21, verse 2.
Proverbios 21, sí, historia: se puede leer, 'todo camino de un hombre está justo en sus propios ojos,;Proverbs 21, yes, history: you may read, 'every way of a man is right in his own eyes,
pero el Señor pesa los corazones. Así que, hermana, quería preguntarte: tenlo en cuenta todo lo que pensaste que es esta noche.;but the Lord weighs the hearts.' So, sister, I wanted to ask you: take it into account everything that you thought is tonight.
¿Por qué es que nuestra tendencia es aferrarse a nuestros propios errores,;Why is it that our tendency is to cling on to our own mistakes,
pensando que estamos haciendo las cosas correctamente a pesar del conocimiento de la doctrina que ya tenemos ¿Y las experiencias que hemos tenido con Dios?;thinking that we're doing things properly despite the knowledge of the doctrine that we already have And the experiences that we've had with God?
¿Esto tiene que ver con Gales, o con lo que has pensado es respecto al Enemigo siendo el que une nuestro juicio sólido?;Does this have to do with Wales, or with what you've thought is in regards to the Enemy being the one that binds our sound judgment?
Bueno, tal vez este versículo pertenece al ser humano del mundo, aquellos que no conocen a Dios, seres humanos,;Well, perhaps this verse belongs to the human being of the world, those who do not know God, human beings,
no la iglesia, no los creyentes, sino la gente que no conoce a Dios.;not the church, not the Believers, but the people who do not know God.
Dice: "Todo camino de un hombre está justo en sus propios ojos,;It says, 'every way of a man is right in his own eyes,
así que creen que lo que hacen, lo que dicen, lo que piensan, lo que sienten, es correcto.;' so they believe that what they do, what they say, what they think, what they feel, that is correct.
Es perfecto, eso es lo que eso significa. Pero el Señor, dice, pero el Señor pesa.;It's perfect, that's what that means. But the Lord, it says, but the Lord weighs.
En otras palabras, Dios es el que da la opinión correcta.;In other words, God is the one who gives the right opinion.
Él es el que define cómo es este hombre o mujer.;He is the one that defines how this man or woman is.
Por ejemplo, podría decir, 'estás caminando mal, apartaos de esa manera en la que estabas caminando';For example, he might say, 'you are walking wrongly, turn away from that way that you were walking in.'
Eso es lo que eso significa. Entonces, cuando este hombre o mujer llega a la palabra de Dios, a la iglesia,;That's what that means. So, when this man or woman comes to the word of God, to the church,
y recibe profecía, el Espíritu Santo les habla y les dice: 'Tienes dos mujeres, deja una;and receives prophecy, the Holy Spirit speaks to them and says, 'you have two women, leave one
y vivir con una sola. Ahí está Paving su camino,;and live with only one.' There he is Paving his way,
y esta persona pensó que estaban viviendo justamente, que eso era lo correcto para hacer por esa persona.;and this person thought that they were living righteously, that that was the right thing to do for that person.
No estaban haciendo nada Amado por amar a dos mujeres y vivir con ellas;They weren't doing anything Wicked by loving two women and living with them
y vivir con ellos como hombre y mujer con las dos mujeres,;and living with them as a man and woman with the two women,
y Dios le dijo que esa no era la manera correcta.;and God told him that that was not the right way.
Pero para él, para esta persona, esa era la manera correcta;But for him, for this person, that was the correct way
y Dios le dijo que no es la manera correcta.;and God told him that is not the correct way.
Eso es lo que significa este versículo. Este versículo es para las personas que no han conocido a Dios.;That is what this verse means. This verse is for the people who have not known God.
Pero creo que nosotros que conocemos a Dios y estamos aprendiendo las cosas de Dios sabemos que hay muchas cosas donde decimos:,;But I believe that we we who know God and we are learning the things of God we know that there are many things where we say,
Señor, corrígeme, Señor, enséñame lo malo que estoy haciendo, sea lo que sea malo que estoy haciendo, corrígeme,;'Lord, correct me, Lord, teach me whatever bad I'm doing, whatever that is wicked that I'm doing, correct me,
enséñame tus caminos, porque quiero caminar por el camino correcto,;teach me your ways,' because I want to walk upon the right path,
y si estoy haciendo algo malo, enséñame, dígame, Señor. ¿No crees que eso es lo que hacemos?;and if I'm doing something bad, teach me, tell me, Lord. Don't you think that that's what we do?
Hacemos estas cosas. Siempre estamos reconociendo que tal vez no estamos haciendo todo correctamente,;We do these things. We are always acknowledging that perhaps we're not doing everything correctly,
y que estamos fallando en algo, y que estamos fallando a Dios,;and that we're failing in something, and that we're failing God,
y tal vez por eso no hemos recibido las bendiciones de Dios por completo.;and maybe that's why we haven't received God's blessings completely.
Y así oramos al Señor y le pedimos que nos enseñe el camino.;And so we pray to the Lord and we ask him to teach us the way.
Pero el hombre, la gente del mundo, no, piensan que todo lo que hacen es muy bueno,;But the man, the people of the world, no, they think that everything they do is very good,
y Dios es el que los corrige, especialmente cuando la persona viene;and God is the one to correct them, especially when the person comes
y tiene la oportunidad de que Dios les hable.;and has the opportunity for God to speak to them.
