Sigamos aquí con otra pregunta. Buenas tardes, hermana.;Let's continue over here with another question. Good afternoon, sister.
Que el Señor te bendiga para siempre, hermana. La cuestión es la siguiente.;May the Lord continue blessing you forever, sister. The question is as follows.
En Apocalipsis verso 19, al final del versículo dice lo siguiente: capítulo 19, perdóname,;In Revelation verse 19, at the end of the verse it states the following: chapter chapter 19, forgive me,
capítulo 19 verso 10. Dice al final, adorar a Dios por el testimonio de Jesús es el espíritu de la profecía.;chapter 19 verse 10. It states at the end, worship God for the testimony of Jesus is the spirit of prophecy.
En cuanto a esto, tengo la siguiente pregunta. ¿Hay alguna otra explicación que tú, hermana,;In regards to this, I have the following question. Is there any other explanation that you, sister,
¿Puede darnos para entender por qué la profecía es el testimonio de Jesús?;can give in order for us to understand why prophecy is the testimony of Jesus?
En Apocalipsis 19 versículo 10, dice que Juan cayó a los pies del ángel que le habló;In Revelation 19 verse 10, it says that John fell at the feet of the angel who spoke to him
y le dije que sentía a sus pies adorarle,;and said to him I felt at his feet to worship him,
pero me dijo que no hicieras que yo soy tu compañero;but he said to me see that you do not do that I am your fellow servant
y de vuestros hermanos que tienen el testimonio de Jesús. Dice que soy un compañero de servicio contigo.;and of your brethren who have the testimony of Jesus. He says I am a fellow servant with you.
Así que el ángel le dice a Juan que soy un siervo de Dios;So the angel tells John I'm a servant of God
y tú eres un siervo de Dios así que soy un siervo;and you are a servant of God so I'm a fellow servant
y de lo que son siervos del evangelio de Jesucristo del testimonio de Jesús.;and of what they are servants of the gospel of Jesus Christ of the testimony of Jesus.
Y el testimonio de Jesús es el evangelio de Cristo.;And the testimony of Jesus is the gospel of Christ.
El evangelio de Cristo es el Espíritu Santo que se manifiesta entre los hombres, entre la humanidad,;The gospel of Christ is the Holy Spirit manifesting himself among men, among humanity,
el Espíritu de Dios en la iglesia, en la congregación, en los corazones de los seres humanos.;the Spirit of God in the church, in the congregation, in the hearts of human beings.
Ese es el evangelio puro de Jesucristo, la manifestación del Espíritu Santo, el Espíritu de Dios,;That is the pure gospel of Jesus Christ, the manifestation of the Holy Spirit, the Spirit of God,
ese es el testimonio de Jesús. Y dice adorar a Dios por el testimonio de Jesús es el espíritu de la profecía,;that is the testimony of Jesus. And he says worship God for the testimony of Jesus is the spirit of prophecy,
porque los profetas en la antigüedad profetizaron acerca de Jesucristo. Profetizaron sobre el evangelio puro de Cristo.;because the prophets in antiquity prophesied concerning Jesus Christ. They prophesied about the pure gospel of Christ.
Profetizaron acerca de las buenas nuevas del plan de salvación.;They prophesied concerning the good tidings of the plan of salvation.
Los profetas de la antigüedad profetizaron acerca de aquel día especial llamado Jesucristo,;The prophets of antiquity prophesied concerning that special day called Jesus Christ,
y eso se llama el testimonio. Profetizaron o testificaron que podríamos decir acerca de Jesucristo.;and that is called the testimony. They prophesied or they testified we could say concerning Jesus Christ.
Por eso dice que el testimonio de Jesús es el espíritu de profecía que los profetas en la antigüedad habían profetizado con respecto a Jesucristo.;This is why it says the testimony of Jesus is the spirit of prophecy that the prophets in antiquity had prophesied regarding Jesus Christ.
Ahora para nuestro tiempo después con el evangelio hay los dones espirituales del Espíritu Santo;Now for our time after with the gospel there are the spiritual gifts of the Holy Spirit
dios existe entre la congregación, Dios en los corazones de los hombres;and God exists among the congregation, God in the hearts of men
y mujeres, Dios con nosotros como Isaías había dicho que en el futuro Dios vendría a enseñarnos su doctrina;and women, God with us as Isaiah had said that in the future God would come to teach us himself his doctrine
y que un hijo nacería un ser que sería llamado Immanuel en el idioma griego que significa Dios con nosotros.;and that a son would be born a being who would be called Immanuel in the Greek language which means God with us.
Y así es como es, porque Dios está con nosotros, cuán bien, por el Espíritu de Dios,;And so that is how it is, because God is with us, how well, through the Spirit of God,
a través del Espíritu Santo, a través de esos dones espirituales maravillosos que nos da. Así que esa es la diferencia.;through the Holy Spirit, through those wonderful spiritual gifts he gives us. So that is the difference.
Hay otras iglesias, otras denominaciones que se llaman cristianos;There are other churches, other denominations who are so-called Christians
y creer en Jesucristo y los hermanos dijeron bien que el don de la profecía no se manifiesta entre ellos los dones espirituales.;and believe in Jesus Christ and the brothers said well the gift of prophecy is not manifested the spiritual gifts are not manifested among them.
Bueno, porque tal vez no han preparado sus corazones para Dios.;Well, because perhaps they haven't prepared their hearts for God.
Si habían preparado su corazón para que Dios amara a Dios,;If they had prepared their heart for God to love God,
bueno entonces estoy seguro de que Dios les daría su espíritu hablaría con ellos darles los dones espirituales o reunirlos con nosotros.;well then I'm sure God would give them his spirit will would speak to them give them the spiritual gifts or bring them together with us.
Eso es lo que Dios hace y esa es la promesa que Dios hizo desde el principio de que todo el que lo ama;That's what God does and that's the promise God made from the beginning that all he or she who loves him
y que busca las cosas espirituales Dios las sacaría de esos lugares;and who seeks the spiritual things God would bring them out of those places
y los reuniría con nosotros y les daría su espíritu.;and would gather them with us would and would give them his spirit.
Así que ese es el espíritu de la profecía lo que aquellos en el pasado habían hablado acerca de Jesucristo.;So that is the spirit of prophecy what those in the past had spoken about Jesus Christ.
¿Y tú.;Do you? .
