Y en el versículo 8 dice, pero ahora ustedes mismos deben apagar todas estas cosas.;And in verse 8 it says, but now you yourselves are to put off all these things.
Ahora veremos ciertos pecados secretos, ¿verdad? Con pecados secretos que no se ven,;Now we will see certain secret sins, right? With secret sins that are not seen,
aquí están algunos pecados que se enumeran que son vistos y también pecados secretos que no se ven.;here are some sins that are listed that are seen and also secret sins that are not seen.
Puedes leer el verso ocho. Bueno, hermanos y hermanas, entonces reflexionemos sobre esto.;You can read verse eight. Well, brothers and sisters, then let's reflect upon this.
Dice ira, apartándose de la ira. Algunos de nosotros en nuestros países lo llamamos un mal genio,;It says anger, turning away from anger. Some of us in our countries call it a bad temper,
pero es incorrecto decir mal temperamento, así que se llama ira.;but it is incorrect to say bad temper, so it is called anger.
Aléjate de la ira, aléjate de ese fuerte, ese temperamento muy fuerte que ofende y lastima a otras personas;Turn away from anger, turn away from that strong, that very strong temper that offends and hurts other people
y eso nos hace sufrir. Cuando una persona sufre de esta ira sufren;and that makes us suffer. When a person suffers from this anger they suffer
y hace que los que los rodean sufran, ¿verdad? La ira, dice, la ira, que también es similar a la ira.;and makes those around them suffer, right? Anger, it says, wrath, which is also similar to anger.
Una persona con ira puede incluso tomar la vida de otra persona.;A person with anger can even take another person's life.
Es lo mismo con la ira. Una persona enojada puede hacer muchas cosas malas, mucho daño,;It's the same with wrath. An angry person can do many evil things, a lot of damage,
tal vez destruye las cosas o dice cosas que no se deben decir. Dicen cosas sin sentido;perhaps destroys things or says things that should not be said. They say senseless things
y ofende a la gente y hace que otras personas también se enojen;and offends people and makes other people also get angry
y luego se forma una batalla, se forma una guerra.;and then a battle is formed, a war is formed.
Aléjate de la malicia. Malice debe estar pensando mal, siempre pensando mal en otras personas, siempre juzgando,;Turn away from malice. Malice is to be thinking badly, always thinking badly of other people, Always judging them,
siempre diciendo que no, seguramente hicieron esto. Seguramente está haciendo algo así.;always saying no, they surely did this. Surely he is doing such a thing.
Seguramente vive así o vive así. Seguramente no cumple sus deberes,;Surely he lives like this or lives like that. Surely he he is not fulfilling his duties,
seguramente es irresponsable, seguramente se está emborrachando, o seguramente esa gente es mentirosa. y chismes, ¿verdad?;surely he is irresponsible, surely he is getting drunk, or surely those people are liars. and gossips, right?
Así que siempre están pensando mal en la gente y Malice también está juzgando a una persona,;So they are always thinking badly of people and Malice is also judging a person,
siempre mirando la espalda y juzgando por sus actitudes.;always looking at the back in them and judging them because of their attitudes.
Miraban mal a alguien o no miraban si se ríen si no se ríen o si por algo más.;They looked badly at someone or did not look whether they laugh whether they do not laugh or for anything else.
Entonces hay malicia, pensando mal y siempre teniendo una mala vista hacia otras personas.;Then there is malice, thinking badly and always having a bad view towards other people.
Así que eso es con los que están escuchando, porque una persona con malicia comienza a hablar mal de otros;So that is with those who are listening, because a person with malice begins to speak ill of others
y los que escuchan se contaminan y comienzan a pensar,;and those who listen become contaminated and begin to think,
¿es verdad o no es verdad la verdad?;hm is it true or is it not true is it the truth?
Mira cómo es que esta persona es así cómo es que esta persona está haciendo esto;Look how is it that this person is like this how is it that this person is doing this
y está pensando así como es que esta persona es tan mala, ¿verdad? Pensé cosas buenas sobre ellos.;and is thinking this how is it that this person is so bad, right? I thought good things about them.
Entonces hacen dudar a otros y los hacen pecar.;Then they make other people doubt and make them sin.
Eso le sucede a una persona maliciosa, así que pecan y hacen pecar a otros.;That happens to a malicious person, so they sin and make others sin.
Así que dice que todas estas acciones maliciosas deben ser abandonadas.;So it says that all these malicious actions must be abandoned.
Debemos alejarnos de ellos. Blasphemies, blasfemia también.;We must turn away from them. Blasphemies, uh, blasphemy too.
Bueno, la blasfemia es cuando sabemos de Dios, cuando somos testigos.;Well, blasphemy is when we know about God, when we Are Witnesses.
Hemos sido testigos de que Dios ha estado dirigiendo esta iglesia,;We have been witnesses that God has been leading this church,
que Dios ha estado apoyando a esta iglesia esta congregación y que Dios se ha manifestado;that God has been supporting this this church this congregation and that God has been manifesting himself
y que Dios pone a la gente quita a la gente Dios pone a los líderes a los predicadores los pastores para el bien para el mal para la bendición para el castigo por lo que puede ser,;and that God puts people removes people God puts the leaders the preachers the pastors for good for bad for blessing for punishment for whatever it may be,
el Señor pone a la gente y debemos respetar y no criticar o quejarnos porque Dios no se deleita en estas cosas pero respetamos lo que Dios hace;the Lord puts people and we must respect accept and not criticize or complain because God does not Delight in these things but we respect what God does
y si no respetamos pero salimos y nos enojamos;and if we do not respect but go out and get angry
y empezar a gritar y decir después de ser testigo de que Dios realizó milagros que Dios se manifestó realizó curaciones;and start to shout and say after I was a witness that God performed Miracles that God manifested himself performed healings
y que Dios estaba cumpliendo sus promesas tanto en la congregación Y en esta gente que Dios puso,;and that God was fulfilling his promises both in the congregation And in these people that God put,
entonces empiezo a decir que esto es mentira, que esto es del diablo,;then I start to say that this is a lie, that this is of the devil,
que estas personas son del diablo, que esta persona no es colocada por Dios, que fue confundido,;that these people are of the devil, that this person is not placed by God, that he was mistaken,
que esto es mentira, que todo esto era un fraude, que era un engaño.;that this is a lie, that all of this was a fraud, that it was a deception.
Allí estoy blasfemando contra Dios, blasfemando contra el Señor.;There I am blaspheming against God, blaspheming against the Lord.
Así que tenemos que tener cuidado, tener cuidado, porque Dios pone a la gente para bien o para mal tal como Dios permite a los gobernantes en el mundo.;So we have to be careful, be careful, because God puts people for good or for bad just as God allows rulers in the world.
Dios les permite para bien o para mal bendecir a una nación o castigar a una nación.;God allows them for good or for bad to bless a nation or to punish a nation.
Esto es lo que Dios hace. Dice que todo viene de la mano de Dios;This is what God does. It says that everything comes from the hand of God
y debemos respetarlo y orar al Señor y decir: Señor, mira,;and we must respect that and pray to the Lord And say, Lord, look,
esta gente no está haciendo las cosas bien. No están cumpliendo su trabajo con lo que les dijiste que hicieran.;these people are not doing things right. They are not fulfilling their work with what you told them to do.
Ten piedad, Señor, ayúdame, para que estas cosas no sigan ocurriendo de esta manera.;Have mercy, Lord, help us, so that these things do not continue to happen in this way.
Eso sería lo único que deberíamos hacer antes de ir a blasfemar.;That would be the only thing we should do before going to blaspheme.
Y aquí dice blasfemia. También dice qué más dice lenguaje sucio de tu boca.;And it says here blasphemy. It also says what else it says filthy language out of your mouth.
Y cuando dice lenguaje sucio de tu boca,;And when it says filthy language out of your mouth,
sí, he oído a muchas personas creyentes que he oído de muchos hombres de mujeres o de hermanos;yes I have heard many people many believers I have heard of Many Men of women or of Brothers
