Entre los correos electrónicos que recibo, hay algunos que me hacen preguntas.;Among the emails I receive, there are some that ask me questions.
Alguien me preguntó: "Quiero que me expliques qué significa dedicarnos al Señor.";Someone asked me, "I want you to explain what it means to dedicate ourselves to the Lord."
Porque en la iglesia, voy y pido la imposición de manos o pido consejo.;Because at church, I go and ask for the laying on of hands or I ask for advice.
Y el predicador me dice: "Necesitas dedicarte al Señor.";And the preacher tells me, "You need to dedicate yourself to the Lord."
Sin embargo, la persona no entiende qué significa dedicarse al Señor y me escribe buscando una respuesta.;However, the person doesn't understand what it means to dedicate oneself to the Lord and they write to me seeking an answer.
Como no tengo tiempo para responder a tantos correos electrónicos, responderé aquí.;Since I don't have time to respond to so many emails, I'll answer here.
No solo para esa persona, sino para todos los que tienen la misma pregunta sobre dedicarse a Dios.;Not just for that person, but for everyone who has the same question about dedicating themselves to God.
En primer lugar, se trata de creer, creer en el Señor. Nuestro credo aquí, nuestro evangelio.;Firstly, it's about believing, believing in the Lord. Our creed here, our gospel.
El evangelio que estamos predicando es creer que Jesucristo es el Hijo de Dios y que Jesucristo es Dios. Ese es el primer paso.;The gospel that we are preaching is to believe that Jesus Christ is the Son of God and that Jesus Christ is God. That's the first step.
También creer que él es el camino a la salvación, el camino que nos lleva a la vida eterna.;Also to believe that he is the way to salvation, the path that leads us to everlasting life.
Y dedicarte al Señor, bueno, es confiar en él, creer, alabarlo, glorificarlo, obedecer los mandamientos.;And to dedicate yourself to the Lord, well, it's to trust in him, to believe, to praise him, to glorify him, to obey the commandments.
Dedicarte a él es apartarte del pecado, agradar al Señor. Todo esto, todo esto se llama dedicarte a Dios.;To dedicate yourself to him is to turn away from sin, to please the Lord. All of this, all of this is called dedicating yourself to God.
Vivir una vida justa ante él.;Living a righteous life before him.
Siempre debemos hacer un examen consistente de nuestra conciencia para ver dónde estamos fallando a Dios.;We should always conduct a consistent examination of our conscience to see where we are failing God.
Leer la Biblia porque en ella aprendemos todos los caminos que llevan a Dios. Los aprendemos de la Biblia.;Read the Bible because in it we learn all the paths that lead to God. We learn them from the Bible.
Así que leemos y aprendemos y decimos: "Quiero cambiar en este aspecto. Quiero renunciar a esto para agradar al Señor.";So we read and learn and say, "I want to change in this aspect. I want to give up this to please the Lord."
"Quiero hacer estas cosas hermosas que hizo esta figura bíblica o que Dios dice que debemos hacer.";I want to do these beautiful things that this Bible figure did or that God says we should do.
"Lo voy a hacer. Lo voy a cumplir para agradar al Señor.";I'm going to do it. I'm going to fulfill it to please the Lord.
Todo esto se llama dedicarte más a Dios, tener fe y confianza y agradar a Dios en todo.;All of this is called dedicating yourself more to God, having faith and trust and pleasing God in everything.
Orar, leer la Biblia y estar atento a su palabra y sus caminos. Eso es lo que significa dedicarte más al Señor.;Praying, reading the Bible, and being attentive to his word and his ways. That's what it means to dedicate yourself more to the Lord.
Cuando una persona no se dedica al Señor, está completamente distraída por las cosas del mundo.;When a person doesn't dedicate themselves to the Lord, they're completely distracted by the things of the world.
Por las cosas materiales de la vida, por sus propios problemas y dificultades.;By the material things of life, by their own problems and difficulties.
Y todo lo que les preocupa dentro de su hogar, dentro de sus lazos familiares, amistades, trabajo, negocios, lo que sea, estudios.;And everything that troubles them within their home, within their family ties, friendships, work, business, whatever it may be, studies.
Así que la persona está allí distraída y por lo tanto no se dedica a Dios como debería.;So the person is there distracted and therefore not dedicating themselves to God as they should.
Y eso es lo que significa dedicarte a Dios.;And that's what it means to dedicate yourself to God.
Sí. Hay muchas distracciones en la vida, pero debemos luchar contra estas distracciones.;Yes. There are many distractions in life but we must fight against these distractions.
Y dedicar más tiempo a nuestro Dios también con nuestros pensamientos.;And dedicate more time to our God with our thoughts as well.
Cuando estamos en la calle, en el trabajo, estudiando, lo que sea, en el negocio, en el trabajo.;When we are on the street, at work, studying, whatever, in the business, at work.
Pensemos en el Señor, reflexionemos en él, admiremos a Dios en todo lo que vemos, en todo lo que nos rodea.;Let's think about the Lord, reflect on him, admire God in everything we see, in everything that surrounds us.
Admiremos a Dios, y de esta manera todo esto se llama dedicarnos a Dios.;Admire God, and in this way all of this is called dedicating ourselves to God.
Así que se trata de vivir y pensar en el Señor, apartarse del mal. Eso es lo que significa dedicarte a Dios.;So, it's about living and thinking about the Lord, turning away from evil. That's what it means to dedicate yourself to God.
O como cuando alguien te dice: "Estar en buena relación con Dios." Significando, reflexiona y ve dónde estás fallando al Señor.;Or like when someone tells you, "Be in good standing with God." Meaning, reflect and see where you are failing the Lord.
Así que esa es la respuesta. Pero espero que ayude a todos.;So, that's the answer. But I hope it helps everyone.
