El Salmo 25:14 menciona que la comunión íntima del Señor es con los que le temen.;Psalm 25:14 mentions that the intimate fellowship of the Lord is with those who fear him.
Hemos aprendido que la comunión de Dios con los seres humanos que le buscan implica, de nuestra parte, oración y buenas obras.;We have learned that God's fellowship with the human beings who seek him involves, on our part, prayer and good works.
Y de parte del Señor, la manifestación de su Espíritu Santo a través de profecía, sueños, visiones y revelaciones.;And on the Lord's part, the manifestation of his Holy Spirit through prophecy, dreams, visions, and revelations.
Mi pregunta es: ¿existe alguna comunión o conexión de parte del Señor con aquellas personas que no le conocen, que no le buscan?;My question is, does there exist any fellowship or connection on the Lord's part with those people who do not know him, who do not seek him?
¿Que pertenecen al mundo? ¿Está el Señor completamente alejado de ellos?;Who belong to the world? Is the Lord completely removed from them?
¿O tiene alguna manera de tratar con ellos mientras están en esta tierra?;Or does he have some way of dealing with them while they are on this earth?
¿Creen que Dios podría comunicarse con ellos? Le agradezco de antemano, hermana.;Do they believe that God could communicate with them? I thank you in advance, sister.
Seguramente, Dios puede hacer lo que quiera, ¿verdad?;Surely, God can do anything he wants, right?
Muy bien, la pregunta del hermano se refiere a un Salmo que habla de una comunión con Dios, con el Señor.;All right, the brother's question refers to a Psalm that speaks of a fellowship with God, with the Lord.
Pero ¿quién puede tener esta comunión con nuestro Dios? Es el hombre o la mujer que hace la voluntad de Dios.;But who can have this fellowship with our God? It's the man or woman who does God's will.
O para decirlo simplemente, el que cumple todos los requisitos de las Bienaventuranzas que acabamos de leer.;Or to put it simply, the one who fulfills all the requirements of the Beatitudes we just read.
Cuando una persona cumple todos estos requisitos, se dice que tiene comunión con Dios.;When a person meets all these requirements, it's said that they have fellowship with God.
Entonces, ¿qué significa tener comunión con Dios? Significa que cuando necesito algo, clamo, oro al Señor.;So, what does it mean to have fellowship with God? It means that when I need something, I cry out, I pray to the Lord.
Y él inmediatamente me da una respuesta.;And he immediately gives me an answer.
El Señor me consuela. Me dice: "No temas. No te preocupes, te ayudaré. No te molestes por esto. Te ayudaré.";The Lord comforts me. He says to me, "Fear not. Don't worry, I will help you. Don't be upset about this. I will help you."
"Hay un problema, una dificultad, una tribulación, una enfermedad, un accidente.";There's a problem, a difficulty, a tribulation, an illness, an accident.
Cuando alguien está muriendo, clamamos: "Señor, ten misericordia. Mira lo que le está pasando a esta persona, Señor.";When someone is dying, we cry out, "Lord, have mercy. Look at what's happening to this person, Lord."
El Señor dice: "No te preocupes, ayudaré. Estaré allí." Esto se llama tener comunión con Dios.;The Lord says, "Don't worry, I will help. I will be there." This is called having fellowship with God.
Cuando clamamos, invocamos, oramos a Dios, hablamos con Dios, él nos responde, él nos ayuda.;When we cry out, call upon, pray to God, talk to God, he answers us, he helps us.
Él nos da la respuesta, cumple nuestros deseos, nuestros anhelos. Esto se llama tener comunión con Dios.;He gives us the answer, he fulfills our desires, our longings. This is called having fellowship with God.
La comunión con Dios es como tener un amigo, un querido amigo a quien amas mucho y en quien confías con todos tus secretos.;Fellowship with God is like having a friend, a dear friend whom you love very much and trust with all your secrets.
Confías profundamente en tu amigo y compartes tus secretos con él. Y cuando estás triste, también compartes eso con él y lloras.;You trust your friend deeply and share your secrets with them. And when you're sad, you also share that with them and cry.
Así que la otra persona te consuela diciendo: "Sí, entiendo. Me pongo en tu lugar. También estoy triste de verte triste.";So, the other person comforts you saying, "Yes, I understand. I put myself in your shoes. I'm also sad to see you sad."
Muy bien, ¿por qué tuvo que pasar esto? Comienza un diálogo, una conversación entre amigos.;All right, why did this have to happen? A dialogue, a conversation between friends begins.
Uno consuela al otro, dando lo mejor de sí mismo para mostrar que está allí para la persona. Esto se llama ¿qué? ¿Comunión?;One comforts the other, giving the best of themselves to show they're there for the person. This is called what? Fellowship?
Así que tener comunión con Dios significa tener a Dios cerca de mí. Que el Señor, cuando lo necesito, está allí.;So, having fellowship with God means having God near to me. That the Lord, whenever I need him, is there.
En el momento en que digo: "Señor, ayúdame porque estoy en peligro", allí está el Señor.;The moment I say, "Lord, help me because I'm in danger," there's the Lord.
¿Y a cuántas personas ha salvado el Señor del peligro a través de sueños?;And how many people has the Lord saved from danger through dreams?
Muestra que habrá peligro. O ese día, la persona se enfermó y no pudo ir al trabajo.;He shows there's going to be danger. Or that day, the person fell ill and couldn't go to work.
Fue porque tenía comunión con Dios. Dios los guardó y los protegió.;It was because they had fellowship with God. God kept and protected them.
Y por lo tanto los enfermó para que no fueran al trabajo.;And therefore made them ill so they wouldn't go to work.
Fue una catástrofe en el trabajo, un terremoto, y el edificio se derrumbó donde trabajaba el hijo de Dios, el creyente.;Was a catastrophe at work, an earthquake, and the building collapsed where God's child, the believer, worked.
Y el Señor los enfermó para que no fueran al trabajo, pero fue porque tenían comunión con él.;And the Lord made them ill so they wouldn't go to work, but it was because they had fellowship with him.
Y quería salvar su vida.;And he wanted to save their life.
Por eso los enfermó para que no fueran al trabajo. Y cuando llegaron, los que sí fueron allí, bueno, el edificio se había derrumbado.;That's why he made them ill so they wouldn't go to work. And when they arrived, those who did go there, well, the building had collapsed.
Esto pasa mucho, ¿no es así? O un accidente en un autobús o un avión, de repente un accidente.;This happens a lot, doesn't it? Or an accident on a bus or a plane, suddenly an accident.
Así que si un hijo de Dios va bien, Dios no le deja viajar, algo pasa y la persona no puede.;So, if a child of God is going well, God doesn't let them travel, something happens, and the person can't.
Y luego resulta que en el autobús donde iban, hubo un accidente, y Dios los salvó.;And then it happens that on the bus where they were going, there was an accident, and God saved them.
Así que dicen: "Bueno, Dios me salvó de este accidente." ¿Qué significa eso? Tener comunión con Dios.;So, they say, "Well, God saved me from this accident." What does that mean? Having fellowship with God.
Como tenía comunión con Dios, él me guardó y me protegió de los peligros.;Since I had fellowship with God, he kept me and protected me from dangers.
Y también, alguien se enferma y está mal, y tienen que llevarlo a un hospital porque está gravemente enfermo.;And then also, someone gets sick and is ill, and they have to be taken to a hospital because they're seriously ill.
Esta persona va a morir. Así que clamas al Señor.;This person is going to die. So, you cry out to the Lord.
Y el Señor dice: "No te preocupes, no van a morir porque voy a ayudarlos." Esto se llama tener comunión con Dios.;And the Lord says, "No, don't worry, they're not going to die because I'm going to help them." This is called having fellowship with God.
Cuando Dios está cerca de nosotros, nos bendice, nos da, nos habla, nos hace promesas. Esta es la única comunión con Dios.;When God is near to us, he blesses us, he gives to us, he speaks to us, he makes promises to us. This is the only fellowship with God.
El hermano pregunta: "¿Las personas del mundo que no conocen a Dios, tienen comunión con Dios?" Bueno, creo que eso es muy difícil.;The brother asks, "Do people of the world who don't know God, do they have fellowship with God?" Well, I believe that's very difficult.
Seguramente, Dios los ve, Dios los escucha, los ve, ve sus obras.;Surely, God sees them, God hears them, sees them, sees their deeds.
Pero Dios no puede estar allí bendiciéndolos porque no conocen a Dios, no conocen el camino.;But God can't be there blessing them because they don't know God, they don't know the way.
No saben cómo clamar a Dios.;They don't know how to cry out to God.
Aunque hay muchas personas que dicen: "No sé. He escuchado que Dios existe.";Although there are many people who say, "I don't know. I've heard that God exists."
"Y aquí estoy en un problema, en una dificultad, en peligro. Voy a clamar al Dios del que he escuchado que existe.";And here I am in a problem, in a difficulty, in danger. I'm going to cry out to the God I've heard exists.
"Para ver si me escucha.";To see if he hears me.
Así que si lo hacen con un corazón sincero y claman, entonces Dios los escucha porque Dios es misericordia y amor.;So, if they do it with a sincere heart and cry out, then God hears them because God is mercy and love.
Así que la persona le dice a Dios: "Si existes, si verdaderamente eres real, ¿por qué no te manifiestas en mi vida?";So, the person says to God, "If you exist, if you truly are real, why don't you manifest in my life?"
"Ayúdame en este momento. Si existes, ayúdame.";Help me in this moment. If you exist, help me.
Eso es lo que hace una persona del mundo que no conoce a Dios.;That's what a person of the world who doesn't know God does.
Dios, en su misericordia, los escucha y los bendice porque repito, Dios es amor y Dios es misericordia.;God, in his mercy, hears them and blesses them because I repeat, God is love and God is mercy.
Pero los que tienen comunión con Dios son sus hijos.;But the ones who have fellowship with God are his children.
