Hermana, sé que debemos saber esperar el tiempo de Dios, pero me gustaría que me enseñaras;Sister, I know we must know how to wait for God's time, but I would like you to teach me
y enseñarnos, aparte de la lucha constante para complacernos;and teach us, apart from the constant fight to please
y ser firmes en los caminos de Dios, ¿cómo podemos ser fortalecidos cuando vemos;and be steadfast in God's ways, how can we be strengthened when we see
y sentir que esas promesas se vuelven distantes? ¿Desagrada a Dios cuando estos pensamientos se apoderan de mí,;and feel that those promises become distant? Do I displease God when these thoughts take hold of me,
¿Sentir que podría perder esas promesas? Esta es mi pregunta, hermana.;feeling that I might lose those promises? This is my question, sister.
Las promesas de Dios. Estaba hablando de cómo el enemigo nos persigue con tantas dificultades, con la pobreza,;The promises of God. I was speaking about how the enemy pursues us with so many difficulties, with poverty,
con enfermedades, con tantas cosas. Cuando vivimos;with illnesses, with so many things. When we are living
y sufriendo todas estas tribulaciones, todas estas dificultades, o días malos, nos volvemos a nuestro Dios,;and suffering all these tribulations, all these difficulties, or bad days, we turn to our God,
nos volvemos a Dios para hablar con nosotros, para que Dios me conforte,;we turn to God to speak to us, so that God may comfort me,
para que Dios me prometa algo. Y Dios me hace promesas;so that God may promise me something. And God makes promises to me
y dice: 'Presiona, no temas. No te he abandonado.;and says, 'Press on, do not fear. I have not forsaken you.
Estoy contigo. Te ayudaré. Lo recibimos con mucha alegría, con mucha felicidad en nuestros corazones,;I am with you. I will help you.' We receive that with much joy, with much happiness in our hearts,
pero también necesitamos ser conscientes de que debemos ser consistentes en el Señor, orar,;but we also need to be aware that we must be consistent in the Lord, pray,
y creer que Dios puede ayudarnos. Porque si dudamos, desconfianza,;and believe that God can help us. Because if we doubt, distrust,
y cada día crecemos frustrados, gritamos, lloramos y crecemos desesperados porque la tribulación es muy intensa,;and every day we grow frustrated, shout, cry, and grow desperate because the tribulation is very intense,
el momento de la prueba o dificultad es muy intenso, y estoy desconfiando de Dios, Dios no puede actuar en mí.;the moment of trial or difficulty is very intense, and I am distrusting God, God cannot act in me.
Tengo que orar y confiar en que Dios me ayudará a resolver el problema, para que me dé la victoria.;I have to pray and trust that God will help me resolve the issue, that he will give me victory.
Y no nos sentemos idly, esperando la promesa,;And let us not sit idly by, waiting for the promise,
esperando las promesas que Dios me ha hecho. Las promesas que Dios nos hace muchas promesas diferentes.;waiting for the promises that God has made to me. The promises God makes us many different promises.
Nos hace promesas sobre la vida espiritual y promesas sobre cosas materiales en la vida.;He makes us promises about spiritual life and promises about material things in life.
A veces nos habla de viajar o comprar bienes raíces, poseer casas, o de un viaje o un coche,;He sometimes speaks to us about travel or buying real estate, owning homes, or about a trip or a car,
¿Verdad? De acuerdo, Dios nos habla de mudarnos, de reubicarnos a otro país.;right? All right, God speaks to us about moving, about relocating to another country.
Él nos habla de estas cosas, pero Dios también nos habla de las cosas espirituales;He talks to us about these things, but God also speaks to us about the spiritual things
y nos habla de los dones espirituales que vamos a servirle, que nos apoyará,;and talks to us about the spiritual gifts that we are going to serve him, that he will support us,
que seremos predicadores, que seremos enseñando.;that we will be preaching, that we will be teaching.
Por lo tanto, prestemos mucha atención a esas promesas sobre la vida espiritual.;So, let us pay close attention to those promises about spiritual life.
Anhelemos por ellos con todos nuestros corazones, siempre buscándolos leyendo, orando, siendo consistentes.;Let us long for them with all our hearts, always seeking them by reading, praying, being consistent.
En cuanto a las otras promesas, que Dios las cumpla en su tiempo y no hay necesidad de crecer desesperados.;As for the other promises, let God fulfill them in his time and there is no need to grow desperate.
Por supuesto, hay dificultades. Por ejemplo, en familias, en matrimonios, en parejas donde hay mucha dificultad.;Of course, there are difficulties. For example, in families, in marriages, in couples where there is a lot of difficulty.
Si es ella la que está desesperada porque su marido la abandona o va a divorciarse o no cumple sus obligaciones.;Whether it is she who is desperate because her husband abandons her or is going to divorce or doesn't fulfill his obligations.
Se frustra y quiere que ese problema sea resuelto rápidamente.;She becomes frustrated and wants that problem to be solved quickly.
O viceversa, también hay casos en que el marido está sufriendo de abandono,;Or vice versa, there are also cases where it is the husband who is suffering from abandonment,
su infidelidad o engaño. Así que la persona viene, Dios les habla, hace promesas;her unfaithfulness or deceit. So, the person comes, God speaks to them, makes promises
y quieren que se cumpla para mañana, para la próxima semana.;and they want it to be fulfilled by tomorrow, by next week.
Por lo tanto, la gente crece desesperada. Se ponen ansiosos porque no sucede inmediatamente porque las cosas no son como quieren que sean.;Therefore, people grow desperate. They get anxious because it doesn't happen immediately because things are not as they want them to be.
En respuesta a eso, debemos orar y pedir a Dios;In response to that, we must pray and ask God
y creer en Dios y entregar ese asunto, ese problema o dificultad en las manos del Señor.;and believe in God and surrender that that issue, that problem or difficulty into the Lord's hands.
Mientras tanto, seamos diligentes. Hagamos todo a nuestro alcance para tratar de resolver las cosas;Meanwhile, let us be diligent. Let's do everything within our reach to try to solve things
y por el resto, que Dios actúe. Pero no necesitamos estar llenos de desesperación, angustia, perder fe,;and for the rest, let God act. But we don't need to be filled with despair, anguish, lose faith,
o perder credibilidad en Dios porque a Dios no le gusta esto. Seamos consistentes;become discouraged, or lose credibility in God because God does not like this. Let us be consistent
y confía en que si Dios nos dice: 'Y protegeré tu vida';and trust that if God says to us, 'And I will protect your life.'
Entonces sí, Señor, protegerás mi vida. Y alguien dice:,;Then yes, Lord, you will protect my life. And someone says, 'Oh,
no vayas así porque allí dicen que cuando pases te quitarán la vida;don't go that way because over there they say when you pass they will take your life.'
Así que, digo, 'Muy bien.' Me asusto, me pongo ansiosa, me pongo desesperada,;So, I say, 'All right.' I get scared, I grow anxious, I grow desperate,
e inmediatamente me vuelvo loco porque no, van a tomar mi vida.;and immediately I go crazy because no, they are going to take my life.
Cuando actúo así, dudo de Dios. Entonces, lo que hago en su lugar es, 'Oh, bueno,;When I act that way, I'm doubting God. So, what I do instead is, 'Oh, well,
No volveré a ir así. Iré de otra manera;I won't go that way again. I'll go another way
y confía en Dios porque Dios no me ha dicho que la gente me quitará la vida.;and trust in God because God hasn't told me that people will take my life.
Él es el que tomará mi vida. Es Dios;He is the one who will take my life. It is God
y no una persona. Y me ha dicho que me mantendrá;and not a person.' And he has told me that he will keep me
y protegerme, así que creeré. Mientras tanto, bueno,;and protect me, so I will believe. In the meantime, well,
No paso por ese lugar donde dicen que hay peligro, tomo otra ruta. Soy prudente;I don't go through that place where they say there's danger, I take another route. I'm prudent
y hacer las cosas de otra manera, pero confío en Dios.;and do things another way, but I trust in God.
Confío en la promesa que el Señor me ha hecho que esté conmigo;I trust in the promise the Lord has made to me that he will be with me
y mantenerme a salvo. Pero cuando nos falta confianza, a Dios no le gusta eso.;and keep me safe. But when we lack trust, God does not like that.
Y generalmente, la desconfianza viene, la fe se pierde, hay dudas,;And generally, distrust comes, faith is lost, there are doubts,
hay temores porque la persona en el momento de la tribulación olvida que tenían fe y creyeron en Dios.;there are fears because the person at the moment of tribulation forgets that they had faith and believed in God.
Y por eso Dios prueba a la gente. Dice que confía en mí.;And that is why God tests people. He says he trusts in me.
Dice que confía en mí. Que tienen fe;She says she trusts in me. That they have faith
y creer. Les daré una prueba para ver si no creen en mí.;and believe. I will give them a test to see if they don't believe in me.
Si no confían en mí, si crecen desesperados, si pierden su mente, a Dios no le gusta eso.;If they don't trust in me, if they grow desperate, if they lose their mind, God does not like that.
Dios lo hace. Y eso es lo que sucede continuamente en la vida cotidiana de los creyentes porque no aprenden a confiar en Dios,;God does. And that is what continuously happens in the daily life of believers because they do not learn to trust in God,
orar a Dios, y dejar el problema a Dios para que pueda ayudarlos a resolverlo.;to pray to God, and to leave the problem to God so that he can help them solve it.
