Tengo una pregunta de la Biblia, hermana, en Eclesiastés 7:16.;I have a question from the Bible, sister, in Ecclesiastes 7:16.
No seas demasiado justo, ni seas demasiado sabio. ¿Por qué deberías destruirte si fueras tan amable de explicarme?;Do not be overly righteous, nor be overly wise. Why should you destroy yourself if you would be so kind as to explain it to me?
Gracias. Muy bien. Versículo 15 estados, he visto todo en mis días de vanidad.;Thank you. All right. Verse 15 states, I have seen everything in my days of vanity.
Hay un hombre justo que perece en su justicia,;There is a just man who perishes in his righteousness,
y hay un hombre malo que prolonga la vida en su maldad.;and there is a wicked man who prolongs life in his wickedness.
Así que sucede lo contrario. El hombre justo perece por su justicia.;So the opposite happens. The righteous man perishes because of his righteousness.
¿Qué podemos decir del Señor Jesucristo? El Señor Jesucristo pereció por ser justo.;What can we say about the Lord Jesus Christ? The Lord Jesus Christ perished for being righteous.
Por otro lado, el impío, el malo está allí disfrutando haciendo malas acciones.;On the other hand, the wicked, the evil one is there enjoying doing evil deeds.
No, su castigo aún no ha llegado, pero lo hará. Así que lo que está diciendo es que la gente no debería estar demasiado segura.;No, his punishment hasn't come yet, but it will. So what it's saying is that people shouldn't be overconfident.
La gente no debería estar demasiado segura diciendo, 'Oh, no. Soy justo. Soy perfecta.;People shouldn't be overconfident saying, 'Oh, no. I'm righteous. I'm perfect.
Estoy bien. No peco, así que nada malo me va a pasar;I'm upright. I don't sin, so nothing bad is going to happen to me.'
Por otro lado, esa persona allí, es un pecador;On the other hand, that person over there, he is a sinner
y él es malvado. Creo que las cosas malas le van a pasar muy pronto, cosas desagradables.;and he is evil. I believe that bad things are going to happen to him very soon, unpleasant things.
Y resulta que sucede lo contrario. Cuando eso sucede, la gente se desalienta.;And it turns out that the opposite happens. When that happens, people get discouraged.
La gente se descorazona. La gente está asombrada. ¿Por qué pasó eso?;People get disheartened. People are astonished. Why did that happen?
No esperaba eso. Esperaba que los malvados fueran castigados;I didn't expect that. I expected the wicked to be punished
