Hermana María Luisa, tengo una pregunta sobre la Biblia, si me lo permite.;Sister Maria Louisa, I have a question about the Bible if you allow me.
En diferentes momentos, encontramos que fieles siervos de Dios expresaron tristeza por su silencio.;At different times, we find that faithful servants of God expressed sorrow at his silence.
El rey David, por ejemplo, clamó en el Salmo 10 versículo 1.;King David, for example, cried out in Psalm 10 verse 1.
Si puedo leer: "¿Por qué estás lejos, oh Señor? ¿Por qué te escondes en los tiempos de tribulación?";If I may read, "Why do you stand afar off, Lord? Why do you hide in times of trouble?"
Incluso vemos cómo ese silencio de Dios acompañó al pueblo de Israel durante 400 años.;We even see how that silence from God accompanied the people of Israel for 400 years.
Ese silencio de Dios, cuando no hay una respuesta pronta o inmediata, a veces es más difícil de soportar que la prueba misma.;That silence from God, when there is no prompt or immediate answer, is sometimes harder to bear than the trial itself.
Sin embargo, entendemos que él es Dios. Fuimos creados por él y sabemos que debemos respetar su silencio.;However, we understand that he is God. We were created by him and we know that we must respect his silence.
Pero, ¿cómo podemos vivir ese silencio de Dios sin caer en la angustia o perder el ánimo?;But how can we live through that silence from God without falling into anguish or losing heart?
¿Qué debemos hacer mientras esperamos?;What should we do while we wait?
¿Cómo podemos mantener la firmeza y la paz en nuestros corazones sabiendo que el mismo Dios que permanece en silencio es también el que consuela?;How can we keep steadfastness and peace in our hearts knowing that the same God who remains silent is also the one who comforts?
Y que responde a su tiempo. Gracias.;And answers in his own time? Thank you.
Sí. Salmo 10 versículo 1. Muy bien, hermana. En el Salmo 10:1 dice: "¿Por qué estás lejos, oh Señor? ¿Por qué te escondes en los tiempos de tribulación?";Yes. Psalm 10 verse 1. All right, sister. In Psalm 10:1, it says, "Why do you stand afar off, O Lord? Why do you hide in times of trouble?"
Ya sabemos que los Salmos son profecías. Son canciones o más bien profecías cantadas por los cantores de Israel y también por el rey David.;We already know that the Psalms are prophecies. They are songs or rather prophecies sung by the singers of Israel and also by King David.
Y el rey David profetizaba y parecía como si estuviera orando ante Dios.;And King David, he prophesied and it seemed as if he were praying before God.
Pero no era realmente el propio David quien se quejaba o oraba al Señor.;But it wasn't really David himself who was complaining or praying to the Lord.
En cambio, era el espíritu de Dios quien lo tomaba para hablar principalmente sobre las experiencias del Señor Jesucristo.;Instead, it was the spirit of God who took him to speak mostly about the experiences of the Lord Jesus Christ.
Los Salmos son como las experiencias del Señor Jesucristo. Contienen toda su vida, lo que sufrió, lo que experimentó cuando era un ser humano en la tierra.;The Psalms are like the experiences of the Lord Jesus Christ. They contain his entire life, what he suffered, what he experienced when he was a human being on earth.
Y en los Salmos encontramos todos los sufrimientos del Señor Jesucristo. Porque en los Evangelios hay muy poco sobre el Señor.;And in the Psalms, we find all the sufferings of the Lord Jesus Christ. Because in the Gospels, there's very little about the Lord.
Pero en los Salmos encontramos mucha profundidad y vemos que el Señor oraba de día y de noche.;But in the Psalms we find much depth and we see that the Lord prayed day and night.
Soportando muchas tribulaciones, mucha persecución, maltrato y humillación.;Enduring many tribulations, much persecution, mistreatment and humiliation.
Oraba constantemente. Sin embargo, había momentos en que el Padre no respondía su oración.;He prayed constantly. Yet there were times when the Father did not answer his prayer.
Tengan en cuenta que el Señor Jesús se comportaba como un ser humano.;Keep in mind that the Lord Jesus behaved as a human being.
Y ese ser humano era el que necesitaba la misericordia del Padre, necesitaba protección, la bendición del Padre.;And that human being was the one who needed the Father's mercy, needed protection, the Father's blessing.
Y por eso tenía que estar orando constantemente.;And that's why he had to be praying constantly.
Y aquí en su oración dice: "¿Por qué estás lejos? ¿Por qué te escondes en los tiempos de tribulación?";And here in his prayer he says, "Why are you far away? Why do you hide in times of trouble?"
Porque tenía tribulaciones. Y cuando oraba, veía que nada se resolvía.;Because he had tribulations. And when he prayed, he saw that nothing was resolved.
Nosotros como seres humanos constantemente experimentamos estas cosas.;We as human beings constantly experience these things.
Constantemente vivimos tribulaciones, persecuciones del enemigo. Vienen enfermedades, ocurren accidentes, días difíciles, escasez, problemas.;We constantly live through tribulations, persecutions by the enemy. Diseases come, accidents happen, difficult days, scarcity, problems.
