Gracias. Que el Señor os bendiga, hermanos y hermanas.;Thank you. May the Lord bless you, brothers and sisters.
Que Dios bendiga también a todos aquellos que tienen la oportunidad de participar en el audio esta reflexión hoy.;May God bless as well all of those who have the opportunity to participate in the audio this reflection today.
La enseñanza de hoy es recordar a los hermanos;The teaching today are teaching is to remind the brothers
y hermanas aquellos que asisten a la iglesia sus obligaciones espirituales con Dios, para que aprendan,;and sisters those that attend the church your spiritual obligations to God, so that you learn,
aunque sepas la enseñanza que vas a dar hoy, lo sabes.;even though you know the teaching that you're going to be giving today, you know it.
Pero hoy vamos a estar revisando y recordándote para que te conviertas en,;But today we're going to be reviewing and reminding you so that you may become,
para que se conviertan en maestros de la palabra de Dios, para que puedan enseñar a sus familias, sus hijos,;so that you may become teachers of the word of God, so you can teach your families, your children,
Tus amigos, todos aquellos que quieren aprender, y que tú también,;Your friends, all of those that want to learn, and that you, as well,
puede tener una vida espiritual enriquecida en el Señor,;may have a spiritual life that is enriched in the Lord,
y el Señor estará con vosotros oyendo vuestras oraciones, y el Señor os bendiga a todos.;and the Lord he may be with you hearing your prayers, and may the Lord bless you all.
Así que esta enseñanza se refiere a estas celebraciones, estas vacaciones que se celebran durante estos meses, como Halloween,;So this teaching is regarding these celebrations, these holidays that are celebrated during these months, such as Halloween,
como el Día de los Muertos donde celebran a los muertos. Tienen comidas especiales.;such as the Day of the Dead where they celebrate the dead. They have special Foods.
Lo hacen en ciertos países y tienen estas celebraciones.;They do this in certain countries and they have these certain celebrations.
Van al cementerio. Llevan comida real al cementerio,;They go to the cemetery. They take actual food to the cemetery,
pensando que los muertos realmente pueden celebrar estas cosas. También en diciembre hay muchas celebraciones de santos, personas especiales;thinking that the dead can actually celebrate these things. Also in December there are many celebrations of saints, special persons
y qué no decir acerca del 24 y 25 de diciembre.;and what not to say about December 24th and 25th.
Así que vamos a hablar de cada celebración, y es para los hermanos;So we're going to be speaking of each celebration, And it is for the brothers
y hermanas, porque las familias que asisten a la iglesia hay por ejemplo una familia asiste a la iglesia.;and sisters, because the families that attend church there's for example a family attends church.
Y pueden poner esto en práctica. Pero en una casa, en tu casa,;And they can put this into practice. But in a household, in your house,
hay una familia que está dividida media iglesia de 10.;there is a family that is divided half a 10 church.
y la otra mitad no, el marido va a la iglesia o la esposa no o viceversa,;and the other half do not, the husband goes to church or the wife does not or vice versa,
hay una dificultad y una controversia allí porque uno quiere practicar estas celebraciones o participar,;there is a difficulty and a controversy there because one wants to practice these celebrations or participate,
y todos estos tienen un nombre y lo llamamos celebraciones Pagan.;and all these have a name and we call it Pagan celebrations.
El esposo, el que va a la iglesia, no quiere practicar estas cosas;The spouse, the one that goes to church, he does not want to practice these things
y el otro lo hace, y allí vamos a ver el malentendido o el conflicto.;and the other does, and there we're going to see the misunderstanding or the conflict.
Entonces, necesitamos pedir al Señor sabiduría e inteligencia,;So, we need to ask the Lord for wisdom and intelligence,
para que puedas resolver estas circunstancias sabiamente con prudencia.;so that you may be able to resolve these circumstances wisely with prudency.
Y eres capaz, o que tienes paciencia, y tal vez te quedas callado,;And you are able, or that you have patience, and you'll maybe stay silent,
o puede incluso convencer a la otra persona de que no debe hacerse.;or you may even convince the other person that it should not be done.
Pero de cualquier manera es mejor no discutir debido a estas circunstancias.;But either way it is best not to argue because of these circumstances.
Pida al Señor que le dé sabiduría para que pueda proceder.;Ask the Lord to give you wisdom so that you may proceed.
Sí, así puedes llegar a un acuerdo porque recuerda que hay niños involucrados;Yes, this way you can come to an agreement because remember there are children involved
y los niños se vuelven tan emocionados y felices que quieren participar porque son curiosos.;and the children they become so emotional and happy excited they want to participate because they're curious.
Los niños que les enseñamos ya que son jóvenes el temor de Dios les enseñamos la doctrina.;The children we teach them since they're young the fear of God we teach them the doctrine.
Pero a veces es imposible como dije antes porque no todos asistan a la iglesia;But sometimes it is impossible as I said before because not all attend church
y no todos están de acuerdo o creen lo mismo.;and not all are in agreement or believe the same thing.
