Hermana, tengo muchas preguntas. Me gustaría saber, ¿cómo se origina una maldición?;Sister, I have many questions. I would like to know, how does a curse originate?
Porque nos has enseñado una integridad. El Señor maldijo a quien según su voluntad,;Because you have taught us an integrity. The Lord cursed whomever according to his will,
y también maldecido. Sí, recordemos que está en Levítico, en Levítico,;and also cursed. Yes, let us remember that that is in in Leviticus, in Leviticus,
donde dice maldiciones sobre los que desobedecen a Dios, bendiciones para los que obedecen a Dios,;where it says curses on those who disobey God, blessings for those who obey God,
y allí encontramos la lista de bendiciones y la lista de maldiciones.;and there we find the list of blessings and the list of curses.
Muy bien, continúe, Hermana, pero me gustaría saber hoy, Hermana María Luisa, ¿cómo se originan las maldiciones?;Very well, continue, Sister, but I would like to know today, Sister Maria Luisa, how do curses originate?
Porque he sabido, y nos has enseñado, que hay muchas enfermedades;Because I have known, and you have taught us, that there are many illnesses
y muchas cosas en la vida personal de cada persona que no los deja ir adelante;and many things in the personal life of each person that don't let them go forward
y hacerlas estancadas, y me gustaría saber hoy cómo se origina una maldición;and make them stagnant, and I would like to know today how does a curse originate
y cómo puede terminarse incluso si aquellos que no han conocido al Señor o que no han venido a la iglesia.;and how can it be ended even if those who haven't known the Lord or who haven't come to church.
Muchas gracias. Que Dios te bendiga.;Thank you very much. May God continue to bless you.
Gracias. Hablemos de maldiciones. Dijimos que Dios dio una lista de bendiciones para todo el pueblo,;Thank you. Let us speak about curses. We said that God gave gave a list of blessings for all of the people,
que por toda la humanidad que obedeció la palabra de Dios;that for all of humanity that obeyed the word of God
y sus mandamientos, pero para el desobediente hay también una lista de todas las maldiciones,;and his commandments, but for the disobedient there also is a list of all of the curses,
y entre ellos encontramos locura, enfermedades, todo eso está en esa lista de maldiciones, locura, espíritus malignos,;and among them we find insanity, illnesses, all of that is on that list of curses, insanity, evil spirits,
y para las personas que son desobedientes dice que estarían heredando de generación en generación todas estas maldiciones debido a su pecado.;and for the people who are disobedient it says that they would be inheriting from generation to generation all of these curses because of their sin.
Pero el Señor Jesucristo y su evangelio vinieron para aliviar todas esas cargas,;But the Lord Jesus Christ and his gospel came in order to alleviate all of those burdens,
todas esas maldiciones y castigos impuestos al pueblo.;all of those curses and punishments imposed on the people.
El Señor Jesucristo dijo que aquellos que creían en el Señor entonces él aliviaría,;The Lord Jesus Christ said that those who believed in the Lord then he would alleviate,
él disminuiría su carga, y la persona comienza a tener felicidad;he would lessen their burden, and the person begins to have happiness
y alegría. Pero también hay diferentes tipos de maldiciones, las que el diablo,;and joy. But there are also different types of curses, the ones that the devil,
los que el diablo dice, porque el diablo también comienza a decir diferentes tipos de maldiciones cuando alguien va a las brujas,;the ones that the devil says, because the devil also begins to say different types of curses whenever someone goes to the witches,
los hechiceros, los espiritualistas, bueno, lo que les llames, allí el diablo también dice diferentes tipos de maldiciones sobre la gente.;the sorcerers, the spiritualists, well, whatever you call them, there the devil also says different types of curses upon people.
Cuando alguien va y pide brujería, así que van al hechicero;When someone goes and asks for sorcery, so they go to the sorcerer
y ellos dicen, quiero hacer brujería sobre esta familia, sobre esta persona, sobre el marido, la esposa,;and they say, I want to cast sorcery upon this family, upon this person, upon the husband, the wife,
los vecinos, a quienquiera que sea van al hechicero para lanzar las hechicerías.;the neighbors, to whomever it is they go to the sorcerer to cast the sorceries.
Así que el hechicero comienza a lanzar hechizos, para lanzar hechizos. Casting hechizos es decir diferentes maldiciones.;So the sorcerer begins to cast spells, to cast spells. Casting spells is to say different curses.
Por ejemplo, no quiero que esta persona sea feliz, no quiero que tengan dinero,;For example, I don't want this person to be happy, I don't want them to ever have money,
Quiero que lloren todo el año, para reírse todo el año,;I want them to cry all year, to laugh all year,
Quiero que esta otra persona esté deprimida cuando esta persona cumpla 30 años, para que puedan tener esta enfermedad;I want this other person to be depressed when this person turns 30, that they may get this illness
y pueden morir por esa enfermedad o quedarse paralizados, etc.;and they may die from that illness or to stay paralyzed, etc.
Hay, digamos, estas maldiciones son miles de cosas diferentes que la gente ayudó por el diablo;There are, let's say, these curses are thousands of many different things that people helped by the devil
y por la maldad comienzan a decir contra alguien más. El diablo, ya que es poderoso,;and by wickedness they begin to say against someone else. The devil, since he is powerful,
y si esta persona que este hechizo es lanzado no tiene a Dios,;and if this person who this spell is cast upon does not have God,
entonces efectivamente llegará el tiempo donde todos esos espíritus entrarán en ellos,;then effectively the time will come where all of those spirits will enter them,
y la persona se debilitará con toda la enfermedad, la infelicidad, sea lo que sea,;and the person will be weakened with all of the illness, the unhappiness, whatever it may be,
y viven deprimidos, y no hay medicinas, los médicos no pueden hacer nada al respecto,;and they live depressed, and there is no medicine, doctors cannot do anything about this,
porque todas estas cosas son cosas hechas por espíritus, espíritus impíos. Así que la gente vive muy infeliz.;because all of these things are things done by spirits, wicked spirits. So people live very unhappy.
Pero supongamos que uno de estos días esta persona que ha sido atacada por estas maldiciones viene a la iglesia,;But let us suppose that one of these days this person who has been attacked by these curses come to the church,
vienen al conocimiento de Dios, y vienen y se unen a nosotros.;come to the knowledge of God, and they come and join us.
Oramos, Dios les hace promesas, ellos son entregados por Dios,;We pray, God makes them promises, they they are delivered by God,
y Dios quita su maldición o su brujería. Otras personas tienen esa maldad adormecida en ellos,;and God takes away their curse or their witchcraft. Other people have that wickedness dormant in them,
y Dios comienza a darles una nueva vida, paz;and God begins to give them a new life, peace
y alegría, y también sanarles físicamente, sanarlos, pero también sanarlos espiritualmente también,;and joy, and to also heal them physically, heal them, but also spiritually heal them as well,
porque mentalmente la persona puede estar enferma y pueden volverse locas o no pueden racionalizarse.;because mentally the person can be ill and they can become insane or they cannot rationalize.
Pero realmente son todos espíritus de enfermedades dadas por quién?;But truly they are all spirits of illnesses given by whom?
Por el diablo, con los hechiceros, con las brujas, y no sabemos si tal vez haya gente que esté sufriendo las maldiciones;By the devil, with the sorcerers, with the witches, and we don't know if perhaps there may be people that are suffering the curses
y el castigo que Dios dijo desde el tiempo de Levítico y la antigüedad, sea lo que sea.;and the punishment that God said from the time of Leviticus and antiquity, whatever it may be.
Cuando la gente viene al evangelio de Cristo, cuando conocen la palabra de Dios, cuando vienen,;When people come to the gospel of Christ, when they know the word of God, when they come,
entonces Dios hace milagros, y comienza a sanar y entregar;then God works miracles, and he begins to heal and deliver
limpiar y romper las cadenas de cautiverio, para quitar esas enfermedades;and cleanse and break the chains of captivity, to take away those illnesses
y hacer una nueva vida dentro de cada persona. Por eso, nosotros..,;and make a new life within each person. That is why we,
por eso todos ustedes que han venido al conocimiento de Dios, Dios los trajo primero para liberarlos;that is why you all who have come to the knowledge of God, God brought you firstly to deliver you
y curarte en tu cuerpo, mente y alma.;and to heal you in your body, mind and soul.
Más tarde te dará los dones espirituales, te dará las habilidades, las armas,;Later on he is going to give you the spiritual gifts, he is going to give you the abilities, weapons,
instrumentos que puedan trabajar y rescatar almas, que están sufriendo, almas que son expulsadas por Dios,;instruments that you may work and rescue souls, that are suffering, souls that are casted away by God,
almas que el diablo tiene como víctimas, como esclavos. Así que todos son las herramientas,;souls that the devil has as victims, as slaves. So you all are the tools,
los instrumentos que Dios puede utilizar para rescatar a todas esas personas,;the instruments that God can use in order to rescue all of those people,
para traerlos al conocimiento de Dios, para darles felicidad y alegría;to bring them to the knowledge of God, to give them happiness and joy
y curación. Por eso Dios te ha traído aquí.;and healing. That is why God has brought you here.
Por eso Dios te tiene aquí antes de su presencia.;That is why God has you here before his presence.
No estás aquí para sentarte aquí, pero que algún día puedas trabajar,;You are not here to just sit here, but that you one day may work,
porque eres un instrumento en la mano de Dios para hacer el bien para otras personas.;because you are a an instrument in God's hand in order to do good for other people.
Eso es lo que es. ¿No crees que es maravilloso, lo que Dios está haciendo por la gente, por la humanidad,;That is what that is. Don't you think that is marvelous, what God is doing for people, for humanity,
¿Qué ha hecho por nosotros? Nos ha rescatado.;what he has done for us? He has rescued us.
Nos ha traído aquí, y ahora va a hacernos sus colaboradores.;He has brought us here, and now he is going to make us his collaborators.
