Buenas noches Hermana María Luisa. Que Dios te bendiga todos los días de tu vida, hermana.;Good evening Sister Maria Luisa. May God bless you every day of your life, Sister.
Pienso constantemente en algo que es humildad. Me di cuenta de que todos los que han honrado;I constantly think of something which is humility. I noticed that everyone whom have honored
y que han amado a Dios todos tenían humildad, especialmente tú,;and whom have loved God all had humility, especially you,
y también veo que cosas como la desobediencia o la rebelión son causadas por la falta de humildad.;and I also see that things such as disobedience or rebellion are caused due to lack of humility.
Así que me gustaría que me enseñaras a tener humildad, no sólo a través de acciones,;So I would like if you are able to teach me how to have humility, not only through actions,
porque tal vez las acciones son un poco más fáciles, pero la humildad dentro del corazón,;because perhaps actions are a little easier, but humility within the heart,
que es lo que ayuda a corregir sus errores o obedecer a Dios o someterse a la voluntad de Dios.;which is what helps one correct their mistakes or obey God or submit to God's will.
Por lo tanto, si eres capaz de enseñarme sobre esto, por favor. La humildad está aceptando cosas, creyendo;Therefore if you are able to teach me about this, please. Humility is accepting things, believing
y hacer cosas sin cuestionar, sin rebelarse. El Señor Jesús en las Bienaventuranzas dijo que los humildes,;and doing things without questioning, without rebelling. The Lord Jesus in the Beatitudes he said that the humble,
e incluso en los Salmos dice que bendito es el humilde,;and even in Psalms it says that blessed are the humble,
así que los humildes son todos aquellos que aceptan la enseñanza.;so the humble are all those who accept the teaching.
Aceptan la corrección, aceptan el amonestamiento, aceptan ser enseñados y ser exhortados;They accept the correction, they accept the admonishment, they accept being taught and being exhorted
y estar prohibido hacer ciertas cosas o dar una orden que una persona lo acepte.;and being forbidden to do certain things or given an order a person accepts it.
Es parte de la humildad. La humildad encierra muchas cosas, no sólo en la vida espiritual sino también en nuestra vida cotidiana en el comportamiento que tenemos con otros,;That's a part of humility. Humility encloses many things, not just in the spiritual life but also in our daily life in the behavior that we have with others,
sea en la iglesia o en el trabajo en la escuela donde una persona está realizando un trabajo o una tarea que la persona necesita mostrar humildad;be it in the church or at work at school wherever a person is carrying out a work or a task that person needs to show humility
y escuchar y saber escuchar y prestar atención;and listen and know how to listen and pay attention
y aprender y ser obedientes y someterse y someterse;and learn and be obedient and submit and subject themselves
y hacer las cosas bien y ser consciente de su responsabilidad;and to do things right and to be conscious of their responsibility
y sus deberes para que hagan todo bien para que todos los demás que los rodean estén contentos con lo que soy;and their duties so that they do everything right so that all others around them are happy with who I am
y con lo que hago. Eso es humildad. Eso es humildad, no cuestionar o rebelar o criticar o decir que sé más que otra persona;and with what I do. That's humility. That's humility, not questioning or rebelling or criticizing or saying I know more than someone else
y lo que digo es lo mejor y tengo razón;and what I say is the best and I'm right
y esa otra persona no lo es. Eso sería lo opuesto a la humildad.;and that other person is not. That would be the opposite of humility.
Humildad es que está aprendiendo a analizar y aceptar cosas;Humility is that it's learning how to analyze and accept things
y hacer las cosas bien sin ser graduales y dejarnos ir por el orgullo y el vainglory.;and doing things right without being phased and letting ourselves go astray by pride And vainglory.
Eso es parte de la humildad. Cuando vivimos, las cosas nos pasan en nuestra vida cotidiana,;That is a part of humility. When we in life, things happen to us in our daily life,
es una gran escuela que tenemos donde aprendemos mucho. y en que también enseñamos;that is a great school that we have where we learn a lot. and in which we also we teach
y aprendemos según nuestro comportamiento y también aprendemos según otras personas;and we learn according to our behavior and we also learn according to other people
y cómo se comportan nosotros también aprendemos. Esas son las mejores experiencias educativas en la vida.;and how they behave we learn as well. That's the best education experiences in life.
Pero esa humildad, dijo el Señor, que a los humildes bendice, los exalta,;But that humility, the Lord said, that to the humble he blesses, he exalts them,
porque tienen un corazón preparado. y dispuesto a aceptar;because they have a heart that is prepared. and set to accept
y hacer las cosas bien y lo contrario es una persona que es rebelde;and to do things right and the opposite of that is a person who is rebellious
tonto y terco y orgulloso que no acepta las cosas.;and foolish and stubborn and proud who does not accept things.
Nuestro Señor Jesús cuando habló en las Bienaventuranzas él daría el ejemplo de los fariseos.;Our Lord Jesus when he spoke in the Beatitudes he would give the example of the Pharisees.
Ellos fueron los que enseñaron la ley de Moisés en los sábados en el templo.;They were those who taught the law of Moses on the Sabbaths in the temple.
Ellos eran los escribas aquellos que conocían la palabra de Dios;They were the scribes those who knew the word of God
y el Señor Jesús predicó el evangelio y había muchas personas que estaban escuchando;and the Lord Jesus preached the gospel and there were many people who were listening
y los humildes aceptaron la enseñanza pero no es porque eran humildes en el hecho de que no tenían dinero sino sus corazones eran modestos;and the humble accepted the teaching but it's not because they were humble in the fact that they had no money but their their hearts were modest
y aceptó esa enseñanza que el Señor estaba dando;and accepted that teaching that doctrine the Lord was giving
y ellos dirían que sí creemos en ti en que confiamos;and they would say yes we believe in you we trust
y creer que usted es una persona que es importante que usted es una persona enviada por Dios que es lo que los humildes hicieron mientras el terco;and believe that you are a person that is important that you are a person sent by God that is what the humble did while the stubborn
y orgullosos y tontos como los fariseos que criticaron;and proud and foolish ones like the Pharisees they criticized
y estaban enojados y no lo aceptarían y le dirían al Señor que eres un mentiroso, así que eso es lo opuesto a la humildad;and they were angry and would not accept it and they would tell the Lord you are a liar so that is the opposite of humility
y los humildes que aceptarían y continuarían;and the humble they would accept and would continue and
y confianza en Dios y esto es lo que debemos ser humildes;and trust in God and this is what we ought to be humble
y aceptar las cosas de Dios excepto la realidad que está siendo humilde.;and accept the things of God except the reality that's being humble.
No confundamos humildad con falta de dinero porque hay personas que son millonarios que son muy humildes en su corazón son muy modestos;Let's not confuse humility with uh lack of money because there are people who are millionaires who are very humble in their heart they're very modest
y aceptan las cosas de Dios y así los humildes también hay personas que físicamente carecen de dinero;and they accept the things of God and so the humble there are also people who are physically they lack money
y están muy orgullosos y rebeldes así que la humildad no tiene nada que ver con el dinero, pero tiene que ver con el corazón para aceptar;and they're very proud very proud and rebellious so humility has nothing to do with money but it has to do with the heart to accept
y analizar, buscar y aprender y poner en práctica la humildad de ser humilde;and to analyze and to search and learn and put to practice that's humility to be humble
y modesto.;and modest you.
