Gracias. Tengo una pregunta sobre Judas Judas Iscariote de Judy.;Thank you. I have a question regarding Judy's Judas Judas Iscariot.
Él fue llamado a servir al Señor, pero luego entregó al Señor Jesucristo.;He was called to serve the Lord, but then later on he delivered the Lord Jesus Christ.
Y en la Biblia dice que todos los que pierden su vida por el Señor Jesucristo por su bien serían salvos.;And in the Bible it states that all who lose their life for the Lord Jesus Christ for his sake would be saved.
Y así me gustaría pasarle al pobre Judas Iscariote que ya estaba profetizado en los Salmos.;And so I would like to happen to poor Judas Iscariot that was already prophesied in Psalms.
En los Salmos encontramos que dice que el Señor Jesucristo, todo lo que hizo, su obra, su deber,;In Psalms we find that it says that the Lord Jesus Christ, everything that he did, his work, his duty,
todo estaba planeado desde antes de la fundación del mundo.;his ministry, all was planned from before the foundation of the world.
Y en los Salmos el Espíritu Santo, por la boca del rey David;And in Psalms the Holy Spirit, through the mouth of King David
y otras personas, hablaron de Judas Iscariote, pero hablaron de todo lo que Dios iba a vivir,;and other people, spoke about Judas Iscariot, but spoke about everything that God was going to live,
lo que iba a sufrir, cuando predicaría el evangelio en la tierra en Jerusalén específicamente.;what he was going to suffer, when he would be preaching the gospel on the earth in Jerusalem specifically.
Eso ya estaba planeado. Y así no sabemos por qué Dios eligió a esta persona.;That was already planned. And so we do not know why God chose this person.
Judas Iscariote vino de una tribu en Antigüedad que Dios maldijo, porque Dios maldijo tribus.;Surely Judas Iscariot came from a tribe in Antiquity that God cursed, because God cursed tribes.
Maldijo a una de las tribus de Noé. Dijo que sus Generaciones serían maldecidas,;He cursed one of Noah's tribes. He said his Generations would be cursed,
y probablemente Judas vino de esa maldición de una de esas tribus.;and most likely Judas came from that curse from one of those tribes.
Y como iba a ser una persona malvada, ya que Dios ya sabe quién va a ser bueno;And since he was going to be an evil person, since God already knows who's going to be good
y que va a ser malo, que va a tener un rebelde;and who's going to be evil, who's going to have a rebellious
y corazón terco, no iba a someterse a Dios, ya que ya lo sabe todo.;and stubborn heart, was not going to submit themselves to God, since he already knows everything.
Por eso Dios planea en el futuro muchas cosas para personas diferentes, hombres;That is why God plans in the future many things for different people, men
y mujeres. A muchos planea bendiciones, y a otros castigo.;and women. To many he plans blessings, and to others punishment.
Y Judas Iscariote, en su plan, fue para castigarlo porque vino de rebeldes;And Judas Iscariot, in his plan, was to punish him because he came from rebellious
y gente obstinada que merecía castigo en sus vidas. Por eso Dios planeó lo que hizo con Judas Iscariote.;and stubborn people who deserved punishment in their lives. That is why God planned what he did with Judas Iscariot.
Cuando esto se cumplió, el Señor Jesucristo enseñó a los apóstoles, diciendo que todo está escrito: 'Leer Salmos.';When this was fulfilled, the Lord Jesus Christ taught the apostles, saying everything is written, 'Read Psalms.'
El Señor diría: "Lean los Salmos y el Libro de los profetas,;The Lord would say, 'Read Psalms and the Book of the prophets,
Porque ahí está escrito todo lo que me pasa. Todo lo que sucederá está escrito.;' because there everything that happens to me is written. Everything that will happen is all written.
Todo está planeado, y se cumplirá. Todo estaba allí para que la gente crease que Dios existe,;Everything is planned, and it will be fulfilled. Everything was there so that people would believe that God does exist,
y cuando Dios habla se cumple porque existe.;and when God speaks it is fulfilled because he exists.
Porque el Señor sabe y sabía que en el futuro habría muchas naciones.;Because the Lord knows and knew that in the future there would be many nations.
Muchas personas no creen en Dios hoy. Hay muchas personas que no creo en Dios.;Many people do not believe in God today. There are many people I do not believe in God.
Hay países donde los niños nacen sin la idea de Dios,;There are countries where children are born without the idea of God,
y Dios ya sabía todo esto. Por eso puso esto en su plan de manifestarse;and God already knew all of this. That is why he placed this in his plan to manifest himself
y mostrar a la humanidad que existe. Por eso profetizaba sobre el futuro,;and show humankind that he does exist. That is why he was there prophesying about the future,
para que cuando se cumpliera la gente dijera: 'Sí, Dios existe.';so that when it was fulfilled people would say, 'Yes, God exists.'
Y aquí se está cumpliendo lo que el Profeta dijo sobre Jesucristo, que Judas traicionó a Jesucristo;And here it is being fulfilled what that Prophet said about Jesus Christ, that Judas betrayed Jesus Christ
y lo vendió. Pero el Señor, hablando del futuro, que muchas cosas sucederían,;and sold him. But the Lord, talking about the future, that many things would happen,
y cuando la gente esté en ese futuro se darán cuenta del Fulfillment de todo,;and when people are in that future they're going to realize the Fulfillment of everything,
para que la gente crea que Dios existe, porque verdaderamente ese es el objetivo. El objetivo de Dios es para la humanidad;so that people may believe that God exists, because truly that is the objective. God's objective is for humankind
y el mundo para creer en Dios, para saber que existe.;and the world to believe in God, to know that he exists.
Y por eso ha planeado desde hace años muchas cosas para mostrarles que lo había dicho,;And that is why he has planned from years ago many things to show them that he had said it,
lo había declarado, y que iba a suceder.;he had declared it, and that it was going to happen.
Y años pasan, miles de años pasan, y las cosas suceden tal como Dios lo ha dicho.;And years go by, thousands of years go by, and things happen just as God has said it.
Por lo tanto, era el plan de Dios. Gracias.;Therefore it was God's plan. Thank you.
