Salmo 42. Cuando leamos los Salmos, leamos con todo nuestro corazón.;Psalm 42. When we read the Psalms, let's read with all our heart.
Leamos con comprensión. Leamos, meditando en cada palabra, cada frase, cada verso,;Let's read with understanding. Let's read, meditating on each word, each phrase, each verse,
y verás cómo Dios se alegra y estará con nosotros,;and you will see how God rejoices and will be with us,
y nos bendecirá, y escuchará nuestra oración, escuchará nuestro clamor,;and will bless us, and will hear our prayer, will hear our cry,
y dice, como los pantalones queridos, usted sabe lo que es un ciervo, no usted, queridos Stags, bien Stags, ciervos.;and it says, as the dear pants, you know what a deer is, don't you, dear Stags, well Stags, deer.
Como los pantalones de ciervo para el agua Brooks, ya puedo imaginar un ciervo para el agua Brooks,;As the deer pants for the water Brooks, I can already imagine a deer panting for the water Brooks,
Buscando agua para beber, y dice que mi alma te trae, oh Dios, quien mi alma,;Looking for water to drink, and it says so pants my soul for you, Oh God, who my soul,
mi alma también pantalones para ti, Oh Dios, igual que ese ciervo.;my soul also pants for you, Oh God, just like that deer.
Me imagino en el verano cuando el agua es escasa, y dice que va a regar;I imagine in the summer when water is scarce, and it say says that he goes panting
y buscando dónde refrescarse. También tenemos que refrescarnos.;and looking for where to refresh himself. We also need to be refreshed.
Muchos de ustedes han venido hoy porque necesitan refrescar su alma, su espíritu, necesitan el confort de Dios,;Many of you today have come because you need to refresh your soul, your spirit, you need God's Comfort,
La bendición de Dios, y la encontrarás, la has encontrado.;God's blessing, and you will find it, you have found it.
Versículo dos dice mi alma sed de Dios, por el Dios viviente,;Verse two says my soul thirsts for God, for the Living God,
y hay una pregunta, una consulta, cuando vendré;and there is a question, a query, when shall I come
y aparecer ante Dios, cuándo será, cuándo será que nos presentaremos ante Dios.;and appear before God, when will it be, when will it be that we will present ourselves before God.
Bueno, como hemos entendido cada vez que oramos nos presentamos ante el Señor,;Well, as we have understood every time we pray we are presenting ourselves before the Lord,
y nuestro corazón tiene que ser tan limpio derecho puro nuestro Corazón Puro para que cuando nos presentamos ante el Señor él está allí con nosotros,;and our heart has to be how clean right pure our Pure Heart so that when we present ourselves before the Lord he is there with us,
nos escucha, nos da la respuesta, y nos concede los deseos de nuestro corazón.;hears us, gives us the answer, and grants us the desires of our heart.
Lea el versículo tres: todo esto le dijeron al Señor Jesucristo cuando estaba en la Tierra predicando el evangelio,;Read verse three: all this they said to the Lord Jesus Christ when he was on Earth preaching the gospel,
y cuando estaba en la cruz, cuando llevaba la cruz, dice que le gritaban;and when he was on the cross, when he was carrying the cross, it says that they shouted at him
y lo criticaron, y dijeron, y cuando él estaba en la cruz dijeron que no dijiste que eras profeta;and criticized him, and they said, and when he was on the cross they said didn't you say you were a prophet
y no dijiste que eres el Hijo de Dios Y si eres un profeta,;and didn't you say you are the Son of God And if you are a prophet,
¿por qué no bajas de esa cruz, por qué no te profetizas?;why don't you come down from that cross, why don't you prophesy to yourself?
Eso es lo que dice aquí, mis lágrimas han sido mi día de comida;That's what it says here, my tears have been my food day
y palabras nocturnas de nuestro Señor Jesucristo mientras continúan diciéndome dónde está tu dios.;and night words of our Lord Jesus Christ while they continue say to me where is your god.
Y en el versículo cuatro dice que recuerdo estas cosas. Y derrama mi alma dentro de mí,;And in verse four then it says I remember these things And pour out my soul within me,
como fui con la multitud, eso es lo que hizo el Señor Jesucristo, fue con una multitud, realizando Milagros,;how I went with the multitude, that's what the Lord Jesus Christ did, he went with a multitude, performing Miracles,
maravillas, señales, enseñando la doctrina, enseñando el reino de los cielos. y dice cómo fui con la multitud;wonders, signs, teaching the doctrine, teaching the kingdom of heaven. and it says how I went with the multitude
y los llevó a la casa de Dios Dios con la voz de alegría;and led them to the house of God god with the voice of joy
y alabanza con una multitud que guardaba una fiesta peregrino.;and praise with a multitude that kept a pilgrim Feast.
Versículo 5, tenemos otra pregunta, leedlo vosotros mismos tal como es su pregunta,;Verse 5, we have another question, read it yourselves just as it is his question,
él está haciendo una pregunta a quien, al alma, al ser, al espíritu,;he is asking a question to whom, to the soul, to the being, to the spirit,
a la misma persona que está aquí hablando en este Salmo nuestro Señor Jesucristo,;to the same person the person who is here speaking in this Psalm our Lord Jesus Christ,
pero también hoy experimentamos lo mismo. Somos perseguidos por el enemigo,;but we also today experience the same. We are persecuted by the enemy,
y también tenemos que decir a Dios todas estas palabras Señor pueblo nos burla de nuestras familias nuestros familiares nos critican,;and we also have to say to God all these words Lord people mock us our families our relatives criticize us reject us,
y así, como pueden ver lo que el Señor vivió lo que le sucedió también nos sucede hoy.;and so, as you can see what the Lord lived what happened to him also happens to us today.
Pero al igual que habló con ese optimismo viendo que el padre estaba allí para ayudarlo,;But just as he also spoke with that optimism seeing that the father was there to help him,
también hoy tenemos la comodidad de saber que el Señor también nos ayuda. Presiona.;we also today have the comfort of knowing that the Lord also helps us too. Press on.
Lea el versículo 5: de hecho, ¿por qué derribaste por qué desesperaste por qué sufres por qué estás tan deprimida mi alma por qué estás tan absuelta.;Read verse 5: indeed why are you cast down why why you disquieted why do you suffer why are you so depressed my soul why why are you disquieted.
Hay una solución. La solución es esperar y confiar en Dios porque todavía dice que lo alabaré.;There is a solution. The solution is to wait and trust in God because still it says still I will praise him.
Así que nuestro Dios está de nuestro lado. Dios está aquí con nosotros hace miles de años también anduvo con esas figuras bíblicas que agradaban a Dios;So our God is on our side. God is here with us as thousands of years ago he also walked with those biblical figures who pleased God
y ellos sufrieron y vivieron lo que hoy hemos sufrido;and they suffered and lived what today we indeed have have suffered
y vivirá, pero la grandeza de nuestro Dios supera las sombras;and will live, but the greatness of our God overshadows
y supera cualquier sufrimiento cualquier dolor porque Dios nos da felicidad;and surpasses any suffering any pain because God gives us happiness
y paz, nos da Tranquility. Versículo 12 dice que para mí me sostienes en mi integridad Y ponme ante tu cara para siempre.;and peace, he gives us Tranquility. Verse 12 says as for me you uphold me in my integrity And set me before your face forever.
