Mi primera pregunta está en el libro de Éxodo 7, verso 11 verso 11 lee como sigue,;My first question is in the book of Exodus 7, verse number 11 verse 11 reads as follow,
pero Faraón también llamó a los sabios y a los hechiceros.;but Pharaoh also called the wise men and the sorcerers.
Así que los magos de Egipto, también hicieron lo mismo con encantamientos.;So the magicians of Egypt, they also did in like manner with enchantments.
En estos versículos vemos que los hechiceros tratan de duplicar con la manifestación de Dios.;In these verses we see that the sorcerers try to duplicate with the manifestation of God.
En otras religiones, muestran estos versículos para ver cómo el diablo realmente también tiene su manifestación.;In other religions, they show these verses to see how the devil truly also have his manifestation.
En estos versículos vemos que hay una creación de vida,;In these verses we see that there is a creation of life,
pero personalmente no creo que el diablo pueda crear vida. Ustedes otras religiones, usan estos versículos para apoyar;but I personally don't think that the devil can create life. You other religions, they use these verses to support
y decir que el diablo tiene poder para hacer estas cosas,;and to say that the devil has power to do these things,
y hermana quiero pedirte que me expliques estos versos.;and sister I want to please ask you to explain these verses to me.
El diablo también tiene poder, lógicamente nuestro Dios es más poderoso, pero Dios también regaló al diablo con poder.;The devil also has power, logically our God is more powerful, but God also gifted the devil with power.
Y aquí cuando hubo señales o milagros con las plagas en Egipto,;And here when there were signs or Miracles with the plagues in Egypt,
¿Cuántos de ustedes han leído la Biblia? ¿Has leído sobre Egipto;how many of you have read the Bible? Have you read about Egypt
¿y las plagas? Bueno, vemos allí cómo los sabios, los hechiceros, hicieron muchas cosas;and the plagues? Well, we see there how the wise men, the sorcerers, they did many things
e imitaron mucho de lo que Moisés hizo, cierto, pero había algo que no podían imitar.;and they imitated a lot of what Moses did, right, but there was something they could not imitate.
Por ejemplo, la plaga de las pulgas. no pudieron imitar eso ni la muerte del primogénito.;For example, the plague of fleas. they were not able to imitate that nor the death of the firstborn.
Así que Dios permitió a los hechiceros o a los hombres sabios Los Magos,;So God allowed the sorcerers or the wise men The Magicians,
él les permitió también llevar a cabo ese tipo de magia;he allowed them to also carry out that kind of magic
y Dios les permitió por qué castigar a Faraón, porque era muy duro de corazón.;and God allowed them why to punish Pharaoh, because he was very hard of heart.
Era muy rebelde, era tonto, era terco,;He was very rebellious, he was was foolish, he was stubborn,
y como era tan duro Dios le castigó y dijo, bueno,;and as he was so hard God punished him And said, well,
Voy a permitir que sus sabios hagan lo mismo que hace Moisés, así que está aún más confundido,;I'm going to allow his wise men to do the same things Moses does, so he is even more confused,
para que sea aún más duro de corazón. y entonces necesitaré castigarlo más severamente.;so that he is even more hard of heart. and I will then need to punish him more severely.
Eso es lo que pasó, porque dice que cada hombre tiró su vara;That is what happened, because it says that every man threw down his rod
y se convirtieron en serpientes. Eso sucedió, la Biblia lo dice, así que tenemos que creerlo.;and they became serpents. That happened, the Bible says so, so we need to believe it.
Aunque la gente y otras filosofías dicen que es mentira, no, creemos lo que dice la Biblia.;Though people and other philosophies say it's a lie, no, we believe what the Bible says.
Dice que pudieron convertir sus varas en serpientes;It says that they were able to turn their rods into serpents
y que la Vara de Aarón que también se había convertido en una serpiente se tragó a los otros.;and that Aaron's Rod that had also turned into a serpent it swallowed up the other ones.
Eso es lo que esto dice el versículo 13, y el corazón de Faraón creció duro, así que no se preocupaba por el milagro;That is what this says verse 13, and Pharaoh's heart grew hard, so he did not care about the miracle
y el Dios de las Maravillas estaba llevando a cabo a través de Moisés. No le importaba, siguió con su incredulidad,;and the Wonders God was carrying out through Moses. He did not care, he carried on with his disbelief,
Porque él dijo, bueno, mis sabios, mis hechiceros, mis magos que yo también tengo,;Because he said, well, my wise men, my Sorcerers, my magicians that I also have,
puede hacer lo mismo que hace Moisés, así que por qué debería creer a este Dios de Israel.;can do the same things Moses does, so why should I believe this God of Israel.
Porque dice que el corazón de Faraón creció duro y él no los escuchó como el Señor había dicho a Moisés que no va a creer sino seguir adelante.;Because it says Pharaoh's heart grew hard and he did not heed them as the Lord had said to Moses he's not going to believe but carry on.
Moisés presiona, porque hay muchas señales y muchas maravillas que trabajaré en Egipto,;Moses press on, because there are many signs and Many Wonders that I will work in Egypt,
Y al final, en tal vez la última maravilla que vas a llevar a cabo,;And in the end, in maybe the last wonder that you will carry out,
le dijo a Moisés que los sabios o los magos no podrán hacer,;he told Moses that the wise men or The Magicians Sorcerers will not be able to do,
porque no los permitiré. Así que eso es lo que pasó.;because I will not allow them to. So that is what happened.
Las últimas pocas maravillas que ocurrieron, bien los sabios los hechiceros no pudieron imitar porque Dios no les permitió.;The last few Wonders that occurred, well the wise men the sorcerers could not imitate because God did not permit them to.
¿Qué significa eso? Significa que Dios da permiso al diablo para hacer ciertas cosas.;Now what does that mean? It means god he gives permission to the devil to do certain things.
Dios permite que el diablo castigue a una persona o tal vez castigue una enfermedad en una persona.;God allows the devil to punish a person or to maybe cast illness on a person.
Dios permite que el diablo haga eso. ¿Por qué? Porque tal vez esa persona está fallando a Dios;God allows the devil to do that. Why? Because maybe that person is failing God
