Me gustaría que me ayudaras a comprender, entender,;I would like for you to please help me comprehend, understand,
y aplicar las formas en que podemos analizar la Palabra Santa para que podamos aprender más de ella.;and apply the ways in which we can analyze the Holy Word so that we can learn more from it.
Las tres formas en las que he podido comprender;The three ways in which I've been able to comprehend
y analizar la Palabra de Dios es el sentido espiritual, en el que podemos utilizarla para la fuerza;and analyze the Word of God are the spiritual sense, in which we can use it for strength
y para ayudarnos a cambiar nuestras vidas, así como el sentido teológico,;and to help us change our lives, as well as the theological sense,
en la que nos has enseñado que debemos ser bien versados en cuanto a la historia;in which you have taught us that we should be well versed in regards to the history
y el conocimiento de las palabras que el Señor expresa en Su Palabra,;and the knowledge of the words that the Lord expresses in His Word,
y por último en el sentido profético, ya que a través de esa misma palabra profética somos capaces de comprender;and lastly in the prophetic sense, since through that same prophetic word we are able to understand
y comprender la esperanza de la justicia y de la salvación. Mi pregunta, hermana: si pudieras darme un consejo,;and comprehend the hope of justice and of salvation. My question, sister: if you could please give me counsel,
hasta qué punto es prudente que la humanidad vea estas ramas,;up until what point is it prudent for mankind to look into these branches,
para no alejarse del camino de Dios? Que Dios te bendiga.;to not turn away from the path of God? May God continue to bless you.
Muy bien, bueno, no te preocupes. Simplemente estudiar, analizar y estudiar la parte geográfica de la Biblia,;Very well, well, don't worry. Simply study, analyze, and study the geographical part of the Bible,
y estudiar la historia del pueblo y la historia de las naciones;and study the history of the people and the history of the of the nations
y los países y descendientes de estas personas y la antigüedad.;and countries and the descendants of these people and antiquity.
Todo eso es importante. Toda esa información es muy importante,;All of that's important. All that information is very important,
y también leer la Biblia literalmente. Usted lee la Biblia literalmente como también debe leerla en el sentido espiritual,;and also to read the Bible literally. You read the Bible literally as you also must read it in the spiritual sense,
simbólicamente también, de una manera u otra. Nada es extra.;symbolically as well, in one way or another. Nothing is extra.
Todo es importante. Después de leer algo histórica o literalmente,;Everything is important. After you read something historically or literally,
entonces empieza a leerlo espiritualmente para ver lo que entiendes, lo que obtienes de ella,;well then start to read it spiritually to see what you understand, what you get from it,
lo que puedes extraer de eso, lo que puedes entender y comprender,;what you can extract from that, what you can understand and comprehend,
y también lo que Dios puede enseñarte, lo que Dios puede revelar.;and also what God can teach you, what God can reveal.
Así que la Biblia es estudiada de diferentes maneras, de muchas maneras diferentes.;So the Bible is studied in different ways, in many different ways.
Debes estudiar la Biblia. La Biblia debe ser leída completamente para que podamos formar un concepto global de lo que es la Biblia.;You must study the Bible. The Bible must be read completely so that we are able to form a global concept of what the Bible is about.
Leemos la historia del pueblo, y también leemos el lado espiritual;We read the story of the people, and also we read the spiritual side
y el simbolismo de esas personas y cuál es la enseñanza que Dios quiere darnos,;and the symbolism of those people and what is the teaching God wants to give us,
y como lo hicimos con Job, leemos a Job históricamente.;and as we did with Job, we read Job historically.
Lo leímos sobre su tiempo. Lo leemos como filósofos, como pensadores, como personas inteligentes,;We read it about his time. We read it as philosophers, as thinkers, as people that are intelligent,
y también leemos sobre lo que podríamos aprender de Job;and we also read about what we could learn from Job
y lo que le pasó a Job, por qué Dios estaba enojado con él.;and what happened to Job, why God was angry with him.
Descubrimos esas cosas, y eso puede suceder en nuestra vida espiritual,;We discovered those things, and that can happen in our spiritual life,
que Dios podría enojarse con nosotros por una razón dada. Y entonces aprendimos mucho de Job,;that God could become angry with us for a given reason. And so we learned a lot from Job,
y así todo es importante en la Biblia.;and so all of it is important in the Bible.
Debemos leerlo y leerlo siempre. He estado leyendo la Biblia durante muchos años.;We must read it and read it always. I have been reading the Bible for many years.
He estado leyendo la Biblia casi 50 años y todavía necesito leer la Biblia;I've been reading the Bible almost 50 years and still I need to read the Bible
y Dios todavía me dice que lea la Biblia porque hay muchos misterios para descubrir;and God still tells me to read the Bible because there are many mysteries to discover
e imagina que hermanos y hermanas así no se desalienten porque tal vez alguien pueda decir oh bien ya he leído la Biblia tres veces;and imagine that brothers and sisters so don't be discouraged because maybe someone might say oh well I've already read the Bible three times
y pensé que era suficiente pero no es toda tu vida toda tu vida porque toda tu vida estás aprendiendo;and I thought that was enough but no it's all of your life all of your life because your entire life you're learning
y a veces lees cosas y tal vez saltas sobre frases;and sometimes you read things and maybe you skip over sentences
y cuando Dios quiere darnos una revelación de esa frase que había saltado quizás miles de veces allí encuentro una respuesta.;and when God wants to give us a revelation that sentence that I had skipped maybe thousands of times there I find an answer.
Encuentro claridad, y Dios me está enseñando algo nuevo.;I find clarity, and God is teaching me something new.
Así que eso es lo que pasa y aprendo más de todo mientras hago los estudios bíblicos cuando estoy de pie ante los hermanos;So that's what happens and I learn more most of all while doing the Bible studies when I'm standing before the brothers
y hermanas que es cuando más aprende porque los hermanos y hermanas hacen una pregunta desde su punto de vista;and sisters that's when I learn most because the brothers and sisters ask a question from their point of view
y entonces desde ese punto de vista probablemente nunca había leído el verso;and then from that point of view I had probably had never read the verse
y así es como aprendemos y aprendo;and so that is the way that we learn and I learn
y a veces leo la Biblia solo pero no encuentro nada nuevo pero cuando estoy en la congregación encuentro muchas cosas nuevas;and sometimes I read the Bible alone but I don't find anything new but when I'm in the congregation I find many new things
y esa es la parte hermosa y así el día que alguien te dice abrir la Biblia;and that's the beautiful part and so the day that someone tells you open the Bible
y enséñame algo de la Biblia bien entonces te convertirás en maestro porque es cuando Dios te baña con esas ideas para darte una respuesta.;and teach me something from the Bible well then you will become a teacher because that is when God showers you with those ideas to give an answer you.
